,Newspaper Name,Accident date,Header,News title,Deaths,Injured
0,Dhaka Tribune,Jun 26 2021,Two labourers killed in Dhaka road accident,2 killed in Dhaka road crash,2,2
1,Dhaka Tribune,Jun 23 2021,Three killed in Muktagacha road accident,Three killed in Muktagacha road...,3,0
2,Dhaka Tribune,Jun 19 2021,Truck-pickup van collision leaves 3 dead in Narsingdi,Truck-pickup van collision leaves 3...,3,0
3,Dhaka Tribune,Jun 19 2021,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision",Bogra road crash kills 3,3,0
4,Dhaka Tribune,Jun 19 2021,Policeman killed in Dhaka road accident,Cop killed in Dhaka road crash,1,0
5,Dhaka Tribune,Jun 18 2021,3 killed in bus-car collision in Comilla,3 killed in bus-car collision in...,3,0
6,Dhaka Tribune,Jun 16 2021,"6 die in road accidents in Dhaka, Gazipur","6 die in road accidents in Dhaka,...",6,0
7,Dhaka Tribune,Jun 13 2021,Road accidents claim 5 lives in 3 districts,Road accidents claim 5 lives in 3...,5,0
8,Dhaka Tribune,Jun 13 2021,Bus-tractor collision kills 2 on Bangabandhu Bridge,2 killed in bus-tractor collision,2,0
9,Dhaka Tribune,Jun 13 2021,"1 killed, 5 injured in Banani road crash","1 killed, 5 injured in Banani road...",1,0
10,Dhaka Tribune,Jun 5 2021,Two motorcyclists killed in Naogaon road accident,Two motorcyclists killed in Naogaon...,2,0
11,Dhaka Tribune,Jun 3 2021,Road accidents claim 9 lives across Bangladesh,Road accidents claim 9 lives,9,0
12,Dhaka Tribune,May 28 2021,Three killed in Bhola road accident,Three killed in Bhola road,3,0
13,Dhaka Tribune,May 22 2021,One killed in Tangail road crash,One killed in Tangail road crash,1,0
14,Dhaka Tribune,May 21 2021,Road accidents kill 4 in 3 districts,Road accidents kill 4 in 3...,4,0
15,Dhaka Tribune,May 21 2021,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria",2 killed in Brahmanbaria road,2,0
16,Dhaka Tribune,May 21 2021,Youth killed in road crash while escorting cousin's body back home,Youth killed in Sylhet road...,1,0
17,Dhaka Tribune,May 21 2021,"Truck driver injured, assistant killed in Rajshahi road crash","Truck driver injured, assistant killed...",1,0
18,Dhaka Tribune,May 20 2021,3 killed in Brahmanbaria road crash,3 killed in Brahmanbaria road,3,0
19,Dhaka Tribune,May 19 2021,15 killed in road accidents across Bangladesh,15 killed in road accidents across...,15,0
20,Dhaka Tribune,May 17 2021,"Mother killed, son injured in Gulshan road accident","Mother killed, son injured in Gulshan...",1,0
21,Dhaka Tribune,May 17 2021,OP-ED: A case for 30kmh,OP-ED: A case for 30kmh,0,0
22,Dhaka Tribune,May 15 2021,"4 killed in road accidents in Tangail, Chapainawabganj",4 dead in road accidents,4,0
23,Dhaka Tribune,May 15 2021,Premium Sweets owner among 3 dead in Canada road crash,3 Bangladeshis killed in Canada road...,3,0
24,Dhaka Tribune,May 12 2021,Road crashes kill 10 across Bangladesh,Road crashes kill 10 across...,10,0
25,Dhaka Tribune,May 10 2021,3 killed in Chittagong road accident,3 killed in Chittagong road...,3,0
26,Dhaka Tribune,May 8 2021,"4 killed in road accidents in Rajshahi, Natore","4 killed in road accidents in Rajshahi,...",4,0
27,Dhaka Tribune,May 6 2021,4 killed in road accidents across Bangladesh,4 killed in road accidents across...,4,0
28,Dhaka Tribune,May 3 2021,Road accident kills three in Sylhet,Road accident kills three in,3,0
29,Dhaka Tribune,May 2 2021,Policewoman on bike killed in road accident,Policewoman on bike killed in road...,1,0
30,Dhaka Tribune,May 1 2021,Road crashes kill 8 in 6 districts,Road crashes kill 8 in 6 districts,8,0
31,Dhaka Tribune,May 1 2021,Road crashes kill 2 in Dhaka,Road crashes kill 2 in Dhaka,2,0
32,Dhaka Tribune,Apr 29 2021,Road crash kills man out to buy medicine,Road crash kills man out to buy...,1,0
33,Dhaka Tribune,Apr 20 2021,3 killed in Comilla road accident,3 killed in Comilla road accident,3,0
34,Dhaka Tribune,Apr 19 2021,3 Bangladeshis die in Oman road accident,3 Bangladeshis die in Oman road...,3,0
35,Dhaka Tribune,Apr 14 2021,22 killed in road accident in Egypt,22 killed in road accident in,22,0
36,Dhaka Tribune,Apr 13 2021,3 including child killed in Comilla road accident,3 killed in Comilla road accident,3,0
38,Dhaka Tribune,Apr 7 2021,"4 killed in road accident in Dhaka, Rajshahi","4 killed in road accident in Dhaka,...",4,0
39,Dhaka Tribune,Apr 5 2021,21 cops injured in Brahmanbaria road accident,21 cops injured in Brahmanbaria road...,0,0
40,Dhaka Tribune,Mar 31 2021,3 die in Sylhet road accident,3 die in Sylhet road accident,3,0
41,Dhaka Tribune,Mar 31 2021,4 killed in Chittagong road crash,4 killed in Chittagong road crash,4,0
42,Dhaka Tribune,Mar 30 2021,Dhaka-Khulna Highway turns into death trap,Dhaka-Khulna Highway turns into death...,,0
43,Dhaka Tribune,Mar 28 2021,"8 killed, 3 injured in road accidents","8 killed, 3 injured in road...",8,0
44,Dhaka Tribune,Mar 26 2021,Bus-microbus collision leaves 17 dead in Rajshahi,Bus-microbus collision leaves 17 dead...,17,0
45,Dhaka Tribune,Mar 26 2021,1 killed in Narsingdi road accident,1 killed in Narsingdi road,1,0
46,Dhaka Tribune,Mar 21 2021,8 killed in Faridpur road crashes,8 killed in Faridpur road crashes,8,0
47,Dhaka Tribune,Mar 20 2021,"4 killed, 9 injured in Bogra road accident","4 killed, 9 injured in Bogra road...",4,0
48,Dhaka Tribune,Mar 15 2021,Driver arrested over two musicians’ death in road accident,Driver arrested over two musicians’...,2,0
49,Dhaka Tribune,Mar 13 2021,Lorry-microbus collision kills two musicians in Chittagong,2 musicians killed in Chittagong road...,2,0
50,Dhaka Tribune,Mar 12 2021,Bus-easybike collision kills two in Jessore,2 killed in Jessore road accident,2,0
51,Dhaka Tribune,Mar 12 2021,"Garment workers vandalize, torch vehicles in Ashulia as road accident kills one","Garment workers vandalize, torch vehicles...",1,0
52,Dhaka Tribune,Mar 8 2021,No respite from road accidents on Sylhet-Dhaka Highway,No respite from road accidents on Sylhet-Dhaka...,0,0
53,Dhaka Tribune,Mar 7 2021,3 killed as truck runs over pedestrians in Cox's Bazar,3 die as truck runs over...,3,0
54,Dhaka Tribune,Mar 6 2021,"6 killed, 5 injured in road accidents","6 killed, 5 injured in road...",6,0
55,Dhaka Tribune,Mar 5 2021,One killed in road accident in Narail,One killed in road accident in...,1,0
56,Dhaka Tribune,Mar 2 2021,"13 dead after SUV, truck collide in California",13 killed in California crash,13,0
57,Dhaka Tribune,Feb 27 2021,"2 dead, 10 injured in head on collision in Cox's Bazar","2 dead,10 injured in Cox’s Bazar road...",2,0
58,Dhaka Tribune,Feb 26 2021,Road accidents claim 24 lives across Bangladesh,Road accidents claim 24 lives across...,24,0
59,Dhaka Tribune,Feb 23 2021,2 killed in Chapainawabganj road accident,2 killed in Chapainawabganj road...,2,0
60,Dhaka Tribune,Feb 23 2021,"6 killed, 23 injured in bus-truck collisions in Sirajganj, Rajshahi","6 die in Sirajganj, Rajshahi road...",6,0
61,Dhaka Tribune,Feb 22 2021,Bus-truck collision leaves 2 dead in Chittagong,Bus-truck collision leaves 2 dead in...,2,0
62,Dhaka Tribune,Feb 21 2021,"6 killed, multiple injured as bus, truck collide head-on in Bogra",6 killed in Bogra bus-truck...,6,0
63,Dhaka Tribune,Feb 19 2021,Two motorcyclists killed in Rangpur road accident,Two motorcyclists killed in Rangpur...,2,0
64,Dhaka Tribune,Feb 19 2021,3 Bangladeshi students killed in Canada road crash,3 Bangladeshi students killed in Canada...,3,0
65,Dhaka Tribune,Feb 18 2021,Child run over by car after falling out of rickshaw,3-year-old run over by car in,1,0
66,Dhaka Tribune,Feb 10 2021,"11 killed, multiple injured in tragic bus-truck collision in Jhenaidah","11 die as bus, truck collide in...",11,0
67,Dhaka Tribune,Feb 10 2021,4 killed in Teknaf road accident,4 killed in Teknaf road accident,4,0
68,Dhaka Tribune,Feb 9 2021,Bus driver’s assistant dies in Dhaka,Bus helper dies in Dhaka,1,0
70,Dhaka Tribune,Feb 6 2021,"Father, daughter killed as truck ploughs into Pabna house","Father, daughter killed as truck ploughs...",2,0
71,Dhaka Tribune,Feb 5 2021,Bus runs over 3 people on Dhaka-Chittagong Highway,Bus runs over 3 people on Dhaka-Chittagong...,3,0
72,Dhaka Tribune,Feb 4 2021,Train rams car in Narayanganj,Train rams car in Narayanganj,,0
73,Dhaka Tribune,Feb 3 2021,32 killed in road pile-up in Uganda,32 killed in road pile-up in,32,0
74,Dhaka Tribune,Jan 28 2021,10-year-old boy killed in Dhaka road accident,10-year-old boy killed in Dhaka road...,1,0
75,Dhaka Tribune,Jan 21 2021,3 die as car falls into ditch in Bandarban,3 die as car falls into ditch in...,3,0
76,Dhaka Tribune,Jan 20 2021,One killed in Dhaka road accident,One killed in Dhaka road accident,1,0
77,Dhaka Tribune,Jan 19 2021,Policeman dies in road accident in Dhaka,Policeman dies in Dhaka road,1,0
80,Dhaka Tribune,Jan 13 2021,"6 killed, 4 injured in Jhenaidah road accident","6 killed, 4 injured in Jhenaidah road...",6,4
82,Dhaka Tribune,Jan 6 2021,Man killed in Dhaka road accident,Man killed in Dhaka road accident,1,0
83,Dhaka Tribune,Jan 3 2021,Bus-autorickshaw collision kills 7 in Mymensingh,7 dead in Mymensingh road crash,7,0
84,Dhaka Tribune,Jan 1 2021,Road accidents claim 11 lives across the country,Road accidents claim 11 lives across...,11,0
85,Dhaka Tribune,Dec 30 2020,Road crash kills 4 in Sylhet,Road crash kills 4 in Sylhet,4,0
86,Dhaka Tribune,Dec 29 2020,Police charge BB official in mountaineer Ratna hit-and-run case,BB official charged in Ratna hit-and-run...,0,0
88,Dhaka Tribune,Dec 23 2020,Woman knocked down by car in Dhaka,Woman knocked down by car in Dhaka,1,0
89,Dhaka Tribune,Dec 8 2020,5 killed in Tangail road accident,5 killed in Tangail road accident,5,0
90,Dhaka Tribune,Dec 8 2020,25 killed in road accidents,25 killed in road accidents,25,0
91,Dhaka Tribune,Dec 7 2020,3 of a family among 8 killed in Habiganj bus-autorickshaw collision,8 killed in Habiganj road crash,8,0
93,Dhaka Tribune,Dec 4 2020,6 killed in Tangail road accident,6 killed in Tangail road accident,6,0
94,Dhaka Tribune,Dec 1 2020,3 killed in Chandpur road accident,3 killed in Chandpur road accident,3,0
98,Dhaka Tribune,Nov 23 2020,Bangladeshi student killed in Australia road accident,Bangladeshi student killed in Australia...,,0
99,Dhaka Tribune,Nov 22 2020,3 killed in Bogra road accident,3 killed in Bogra road accident,3,0
100,Dhaka Tribune,Nov 19 2020,9 killed in Chapainawabganj road accident,9 killed in Chapainawabganj road...,9,0
101,Dhaka Tribune,Nov 16 2020,Brothers among three killed in Chapainawabganj road accident,Brothers among 3 killed in,3,0
102,Dhaka Tribune,Nov 11 2020,Woman killed in Dhaka road accident,Woman killed in Dhaka road,1,0
104,Dhaka Tribune,Nov 3 2020,5 killed in truck-ambulance collision in Kushtia,5 killed in truck-ambulance collision...,5,0
105,Dhaka Tribune,Nov 2 2020,Three killed in Chandpur road accident,Three killed in Chandpur road...,3,0
106,Dhaka Tribune,Oct 26 2020,4 killed in Cox’s Bazar road crash,4 killed in Cox’s Bazar road crash,4,0
108,Dhaka Tribune,Oct 16 2020,"Boy killed in Dhaka road accident, locals stage demonstrations",Demonstrations for boy killed in Dhaka...,1,0
109,Dhaka Tribune,Oct 12 2020,"Mother killed, daughter injured, in Dhaka road accident","Mother killed, daughter injured, in...",1,1
110,Dhaka Tribune,Oct 8 2020,4 killed in separate road accidents in Khulna,4 killed in separate road accidents...,4,0
111,Dhaka Tribune,Oct 8 2020,Road accidents kill 2 in Dhaka,Road accidents kill 2 in Dhaka,2,0
112,Dhaka Tribune,Oct 2 2020,Intern doctor killed in Sirajganj road accident,Intern doctor killed in Sirajganj road...,1,0
114,Dhaka Tribune,Sep 22 2020,"Woman, her son killed in Gopalganj road crash","Woman, her son killed in Gopalganj road...",2,0
115,Dhaka Tribune,Sep 21 2020,"Woman, daughter killed in Comilla road accident","Woman, daughter killed in Comilla road...",2,0
116,Dhaka Tribune,Sep 21 2020,"PIB director killed, one injured in Dhaka road crash",PIB director killed in Dhaka road...,1,1
117,Dhaka Tribune,Sep 18 2020,"4 killed, 20 injured in Magura road crash","4 killed, 20 injured in Magura road...",4,20
118,Dhaka Tribune,Sep 16 2020,Panchagarh jail guards killed in road crash,Panchagarh jail guards killed in road...,5,0
120,Dhaka Tribune,Sep 11 2020,Couple among 5 killed in road accidents,Couple among 5 killed in road...,5,0
121,Dhaka Tribune,Sep 9 2020,4 of a family among 6 killed in Barisal road accident,6 killed in Barisal road accident,6,0
122,Dhaka Tribune,Sep 7 2020,Four killed in Habiganj road accident,Four killed in Habiganj road...,4,0
124,Dhaka Tribune,Aug 30 2020,DU student among 3 killed in Cox’s Bazar road accident,DU student among 3 killed in Cox’s Bazar...,3,0
125,Dhaka Tribune,Aug 29 2020,5 killed in Sylhet road crash,5 killed in Sylhet road crash,5,0
126,Dhaka Tribune,Aug 21 2020,4 of a family killed in Tangail road crash,4 of a family killed in Tangail road...,4,0
127,Dhaka Tribune,Aug 20 2020,2 Bangladeshis among 3 killed in New York road accident,2 Bangladeshis among 3 killed in New...,2,0
128,Dhaka Tribune,Aug 19 2020,1 killed in collision between bus and motorcycle in Jatrabari,1 killed in collision between bus and...,1,0
129,Dhaka Tribune,Aug 18 2020,Mountaineer Reshma hit-and-run: Killer microbus driver arrested,Police arrest microbus driver who ran...,1,0
131,Dhaka Tribune,Aug 14 2020,Man killed in Dhaka road accident,Man killed in Dhaka road accident,1,0
132,Dhaka Tribune,Aug 14 2020,Sylhet road accident death toll reaches 6,Sylhet road accident death toll reaches...,6,0
133,Dhaka Tribune,Aug 14 2020,Four killed as bus collides with three-wheeler,Four killed as bus collides with...,4,0
134,Dhaka Tribune,Aug 13 2020,3 of a family among 4 killed in bus-car collision in Kurigram,3 of a family killed in bus-car collision...,3,0
139,Dhaka Tribune,Aug 8 2020,7 killed in Mymensingh road crash,7 killed in Mymensingh road crash,7,0
140,Dhaka Tribune,Aug 6 2020,7 killed in road accidents,7 killed in road accidents,7,0
141,Dhaka Tribune,Aug 3 2020,7 killed in road crash in 3 districts,7 killed in road crash in 3...,7,0
142,Dhaka Tribune,Aug 2 2020,2 killed in Comilla road accident,2 killed in Comilla road accident,2,0
143,Dhaka Tribune,Aug 2 2020,ATN News official among 2 killed in Meherpur road crash,ATN News official among 2 killed in...,2,0
144,Dhaka Tribune,Jul 29 2020,Three killed in Chandpur road crash,Three killed in Chandpur road,3,0
146,Dhaka Tribune,Jul 26 2020,Road accidents claim 9 lives in 4 districts,Road accidents claim 9 lives in 4...,9,0
148,Dhaka Tribune,Jul 7 2020,Three of a family killed in Comilla road accident,Three of a family killed in Comilla...,3,0
149,Dhaka Tribune,Jul 4 2020,"Four killed in Gazipur, Lakshmipur road crashes","Four killed in Gazipur, Lakshmipur road...",4,0
150,Dhaka Tribune,Jul 3 2020,Three-wheeler driver killed in Jhenaidah road accident,Three-wheeler driver killed in Jhenaidah...,1,0
151,Dhaka Tribune,Jul 1 2020,"Road accident kills 4, injures 6 in Rangpur","Road accident kills 4, injures 6 in...",4,6
152,Dhaka Tribune,Jun 28 2020,3 killed as truck crashes into the divider on Tangail highway,3 killed in Tangail road crash,3,0
153,Dhaka Tribune,Jun 24 2020,"Three passengers die after three-wheeler, truck collide in Thakurgaon","Three passengers die after three-wheeler,...",3,0
154,Dhaka Tribune,Jun 24 2020,Road accident claims two lives in Sirajganj,Road accident claims two lives in...,2,0
155,Dhaka Tribune,Jun 23 2020,2 killed as tree falls on motorcycle in Habiganj,2 killed as tree falls on motorcycle...,2,0
156,Dhaka Tribune,Jun 17 2020,Three killed in Sirajganj road accident,Three killed in Sirajganj road...,3,0
157,Dhaka Tribune,Jun 14 2020,Three of a family among four killed in Rajbari road accident,Four killed in Rajbari road...,4,0
158,Dhaka Tribune,Jun 13 2020,Road crash kills two BGB troopers in Rajshahi,Road crash kills two BGB troopers in...,,0
159,Dhaka Tribune,Jun 4 2020,"2 killed, 1 injured in Banglamotor road accident","2 killed, 1 injured in Banglamotor road...",2,1
160,Dhaka Tribune,Jun 1 2020,"12 killed, 21 injured in road accident in Nepal","12 killed, 21 injured in road accident...",12,0
161,Dhaka Tribune,May 28 2020,Two students killed in motorbike crash in Dhaka,Two students killed in motorbike crash...,2,0
163,Dhaka Tribune,May 22 2020,3 die in Narayanganj road accident,3 die in Narayanganj road accident,3,0
164,Dhaka Tribune,May 22 2020,13 killed in Gaibandha road accident,13 killed in Gaibandha road...,12,0
165,Dhaka Tribune,May 19 2020,"12 killed, 22 injured in road accidents","12 killed, 22 injured in road...",12,22
167,Dhaka Tribune,May 11 2020,Agriculture officer killed in Habiganj road crash,Agriculture officer killed in Habiganj...,1,0
169,Dhaka Tribune,May 3 2020,Road crashes claim 211 lives in April despite lockdown,Road crashes claim 211 lives in April...,211,0
170,Dhaka Tribune,Apr 28 2020,"Two farm workers killed, four injured in Bogra road accident","Two farm workers killed, four injured...",2,0
171,Dhaka Tribune,Apr 24 2020,Four killed in road accidents,Four killed in road accidents,4,0
172,Dhaka Tribune,Apr 20 2020,Coronavirus: 10 people killed each day in road accidents amid shutdown,Coronavirus: 10 people killed each day...,10,0
173,Dhaka Tribune,Apr 16 2020,"1 soldier killed, 21 injured as army truck crashes in Dhaka","1 soldier killed, 21 injured as army...",1,21
174,Dhaka Tribune,Apr 1 2020,Two killed in Mymensingh road accident,Two killed in Mymensingh road...,2,0
175,Dhaka Tribune,Mar 28 2020,7 killed in road accidents,7 killed in road accidents,7,0
176,Dhaka Tribune,Mar 25 2020,Woman killed in Savar road accident,Woman killed in Savar road,1,0
177,Dhaka Tribune,Mar 25 2020,18 killed in road accidents in 7 districts,18 killed in road accidents in 7...,18,0
178,Dhaka Tribune,Mar 22 2020,Chittagong road accident: Death toll rises to 15,Chittagong road accident: Death toll...,15,0
179,Dhaka Tribune,Mar 21 2020,12 killed in Chittagong road accident,12 killed in Chittagong road...,12,0
180,Dhaka Tribune,Mar 20 2020,Road accidents claim 11 lives,Road accidents claim 11 lives,11,0
181,Dhaka Tribune,Mar 18 2020,Policeman crushed under wheels of a bus,Policeman crushed under wheels of a...,1,0
182,Dhaka Tribune,Mar 15 2020,8 killed in road accidents,8 killed in road accidents,8,0
183,Dhaka Tribune,Mar 14 2020,Eight killed in road accidents,Eight killed in road accidents,8,0
184,Dhaka Tribune,Mar 13 2020,13 killed in road accidents,13 killed in road accidents,13,0
185,Dhaka Tribune,Mar 10 2020,Road crashes kill 4 across the country,Road crashes kill 4 across the...,4,0
186,Dhaka Tribune,Mar 9 2020,Tangail road crash kills 6,Tangail road crash kills 6,6,0
188,Dhaka Tribune,Mar 7 2020,5 killed in road crashes,5 killed in road crashes,5,0
189,Dhaka Tribune,Mar 6 2020,10 people killed as microbus rams into tree in Habiganj,10 people killed as microbus rams into...,10,0
190,Dhaka Tribune,Mar 6 2020,DU student killed in city road accident,DU student killed in city road...,1,0
191,Dhaka Tribune,Mar 6 2020,Road accidents kill 21 in 5 districts,Road accidents kill 21 in 5...,21,0
193,Dhaka Tribune,Mar 1 2020,2 killed in Jessore road accident,2 killed in Jessore road accident,2,0
194,Dhaka Tribune,Feb 29 2020,Road accidents claim 21 lives,Road accidents claim 21 lives,21,0
195,Dhaka Tribune,Feb 26 2020,5 killed in Dhaka road accidents,5 killed in Dhaka road accidents,5,0
196,Dhaka Tribune,Feb 26 2020,4 killed in Dhaka road accidents,4 killed in Dhaka road accidents,4,0
197,Dhaka Tribune,Feb 25 2020,11 killed in road crashes,11 killed in road crashes,11,0
198,Dhaka Tribune,Feb 24 2020,4 killed in road accidents in Dhaka,4 killed in road accidents in,4,0
199,Dhaka Tribune,Feb 23 2020,18 injured as private car ploughs through crowd in Kurmitola,18 injured as private car ploughs through...,0,18
200,Dhaka Tribune,Feb 22 2020,10 killed in road accidents,10 killed in road accidents,10,0
201,Dhaka Tribune,Feb 19 2020,10 killed in road accidents,10 killed in road accidents,10,0
202,Dhaka Tribune,Feb 16 2020,10 killed in road crashes,10 killed in road crashes,10,0
203,Dhaka Tribune,Feb 15 2020,Mymensingh divisional commissioner injured in Gazipur road accident,Mymensingh divisional commissioner injured...,,1
204,Dhaka Tribune,Feb 15 2020,7 killed in road accidents,7 killed in road accidents,7,0
205,Dhaka Tribune,Feb 13 2020,15 CU students injured in road accident,15 CU students injured in road...,15,0
206,Dhaka Tribune,Feb 8 2020,"6 killed in Comilla, Cox's Bazar road accidents","6 killed in Comilla, Cox's Bazar road...",6,0
207,Dhaka Tribune,Feb 4 2020,6 killed in road crashes,6 killed in road crashes,6,0
208,Dhaka Tribune,Feb 4 2020,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
210,Dhaka Tribune,Jan 31 2020,7 killed in road accidents,7 killed in road accidents,7,0
211,Dhaka Tribune,Jan 29 2020,3 killed in Dinajpur road accident,3 killed in Dinajpur road accident,3,0
212,Dhaka Tribune,Jan 28 2020,Bus race kills motorcyclist in Dhaka,Bus race kills motorcyclist in...,1,0
213,Dhaka Tribune,Jan 28 2020,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
214,Dhaka Tribune,Jan 28 2020,"4 killed in Moulvibazar, Habiganj road accidents","4 killed in Moulvibazar, Habiganj road...",4,0
215,Dhaka Tribune,Jan 27 2020,SSC examinee dies after being run over by Wasa’s tanker,SSC examinee dies after being run over...,1,0
216,Dhaka Tribune,Jan 26 2020,2 killed in Mymensingh road accident,2 killed in Mymensingh road...,2,0
217,Dhaka Tribune,Jan 25 2020,8 killed in road accidents,8 killed in road accidents,8,0
218,Dhaka Tribune,Jan 24 2020,7 killed in road accidents in 4 districts,7 killed in road accidents in 4...,7,0
219,Dhaka Tribune,Jan 20 2020,Road accident kills elderly woman,Road accident kills elderly woman,1,0
220,Dhaka Tribune,Jan 18 2020,3 of a family killed in Jessore road accident,3 of a family killed in Jessore road...,3,0
221,Dhaka Tribune,Jan 18 2020,6 killed in road accidents,6 killed in road accidents,6,0
222,Dhaka Tribune,Jan 17 2020,3 killed in Chittagong road accident,3 killed in Chittagong road...,3,0
