Accident date,Header,Location_appox,location,Latitude,Longitude
2018-09-20,"3 found dead in Ashulia, Savar","Ashulia, Bangladesh","আশুলিয়া, সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1341, বাংলাদেশ",23.9005799,90.3255674
2018-09-15,"Rangpur bus collision kills 2, injures 20","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2018-09-03,Police SI killed in Dhaka road crash,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2018-09-02,"Separate road accidents kill 3, injured 37 in Bogra","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2018-09-02,4 killed in Netrokona road accident,"Netrokona, Bangladesh","নেত্রকোনা, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",24.8853398,90.7326247
2018-09-01,Boy killed after being hit by a bus in Kushtia,"Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2018-08-21,26 injured in Habiganj road accident,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2018-08-18,15 injured in road accident in Jhenidah,"Jhenidah, Bangladesh","Jhenidah Somobai Somity, N7, ঝিনাইদহ, ঝিনাইদহ জেলা, খুলনা বিভাগ, 7300, বাংলাদেশ",23.5510989,89.1737307
2018-08-16,"Four killed as speeding vehicles plough through shops in Rajshahi, Chuadanga","Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2018-08-06,2 including student killed by human hauler in Narsingdi,"Narsingdi, Bangladesh","নরসিংদী, নরসিংদী জেলা, ঢাকা বিভাগ, 1602, বাংলাদেশ",23.9156451,90.6981963
2018-08-03,Bus torched after it kills motorcyclist in Dhaka amidst movement for safe roads,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2018-07-20,Two dead in Naogaon road accident,"Naogaon, Bangladesh","Naogaon, নওগাঁ জেলা, রাজশাহী বিভাগ, 6500, বাংলাদেশ",24.808119150000003,88.95266066504688
2018-07-19,Four killed in Cox’s Bazar road crash,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2018-07-16,Road accident kills 2 in Cox’s Bazar,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2018-06-26,6 killed in Tangail road accidents,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2018-06-18,"6 killed in Noakhali, Tangail road accidents","Noakhali, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",22.5313205,91.1775744276286
2018-06-06,4 killed in Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2018-05-23,"Bus falls off highway in Rangpur, two killed","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2018-05-23,Five killed in Bogura road accident,"Bogura, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2018-05-17,4 killed in Habiganj road accident,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2018-05-12,"Three killed, 7 injured in Mirpur road crash","Mirpur, Bangladesh","মিরপুর, ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.8123138,90.3596044
2018-05-12,Senior journalist Kallol injured in road accident in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2018-05-07,3 Chhatra League leaders killed in Brahmanbaria road accident,"Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2018-05-06,Now RMG worker loses foot in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2018-04-26,"After Rajib, child's arm severed by bus in Bogura","Bogura, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2018-04-08,Three killed in Khulna road crash,"Khulna, Bangladesh","খুলনা বিভাগ, বাংলাদেশ",22.9372087,89.2852741
2018-03-30,3 killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2018-03-10,4 killed in Kushtia road crash,"Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2018-03-06,4 dead in Cox’s Bazar road crash,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2018-01-31,"Mother, son killed in Moulvibazar road crash","Moulvibazar, Bangladesh","Moulvibazar, মৌলভীবাজার, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",24.5508121,91.7110348
2018-01-16,Truck driver lands in jail over death of 13 in Chuadanga road crash,"Chuadanga, Bangladesh","চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, CHUADANGA, বাংলাদেশ",23.756870539623318,88.94544633107863
2018-01-16,Singer Nokul Kumar’s two co-artistes killed in Faridpur road crash,"Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2018-01-01,"Road accidents kill seven in Bogra, Habiganj","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2017-12-29,3 killed in Bogra road accident,"Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2017-10-30,Seven killed in head-on collision of buses in Pabna,"Pabna, Bangladesh","পাবনা, পাবনা জেলা, রাজশাহী বিভাগ, 6600, বাংলাদেশ",24.005,89.25
2017-10-14,Two die in traffic accident in Cox’s Bazar,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2017-10-10,Private car crushed between two buses in Dhaka’s Gabtoli,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-10-10,"Mother, son among 4 killed in Brahmanbaria road accident","Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2017-09-18,Schoolgirl killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-09-12,"3 killed, 12 injured in Cox’s Bazar road accident","Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2017-08-22,5 killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-08-16,3 killed as lorry crushes CNG in Chittagong,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-08-08,"Four killed, 8 injured in Bogra road crash","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2017-07-10,Air force soldier killed in Ctg road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-07-02,Two dead in Chittagong road mishap,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-06-30,"3 killed, 25 injured in Rangpur accident","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2017-06-28,"Driver gives wheel to helper, 17 dead after truck overturns in Rangpur","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2017-06-24,Speeding bus runs over father-daughter in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-06-21,"10 killed, several injured in Bogra, Gopalganj, Jhenaidah, Habiganj road accidents","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2017-06-19,Two killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-06-16,Two pedestrians killed in Munshiganj road crash,"Munshiganj, Bangladesh","মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.5483797,90.5349722
2017-06-02,5 killed in Chittagong road crash,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-05-29,Two JU students killed in Savar road accident,"Savar, Bangladesh","সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1340, বাংলাদেশ",23.8477,90.2587
2017-05-25,3 of a family killed in Kaliakoir road accident,"Kaliakoir, Bangladesh","Kaliakoir aminbazar link road, সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1340, বাংলাদেশ",23.8467089,90.2994142
2017-05-23,3 killed as microbus plunges into roadside ditch in Chittagong,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-05-07,Two killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-04-22,Rickshaw puller killed in Dhanmondi road accident,"Dhanmondi, Bangladesh","Eastern University,Bangladesh(Campus 1), House 15/2, Dhanmondi Road 3, ধানমন্ডি আ/এ, ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1205, বাংলাদেশ",23.7400733,90.3812449
2017-04-16,Road accidents kill five in Sirajganj,"Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2017-03-25,5 from one family among 10 killed in Mymensingh lorry crash,"Mymensingh, Bangladesh","ময়মনসিংহ বিভাগ, বাংলাদেশ",24.8386014,90.41126950462677
2017-03-24,"1 killed, 2 injured in Narayanganj road accident","Narayanganj, Bangladesh","নারায়ণগঞ্জ, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1400, বাংলাদেশ",23.6238108,90.4999662
2017-03-22,Two killed in a Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2017-03-19,"Accidents kill 4 in Kushtia, Jamalpur","Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2017-03-11,Biker killed during police chase in Comilla,"Comilla, Bangladesh","কুমিল্লা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3500, বাংলাদেশ",23.4610615,91.1808748
2017-03-08,Van carrying 24 prisoners overturns in Tejgaon,"Tejgaon, Bangladesh","B A F Shaheen College, Tejgaon, Dhaka, বীর উত্তম জিয়াউর রহমান সড়ক, মহাখালী, নিকেতন, ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.7769318,90.39085277802562
2017-03-03,"3 killed, 25 injured in Rangpur road accident","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2017-02-27,Four killed as microbus overturns in Cox’s Bazar,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2017-02-22,Hotelier killed in Dhaka road crash,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-02-22,Three killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2017-02-13,4 killed in Magura road accident,"Magura, Bangladesh","মাগুরা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",23.488333,89.42
2017-02-11,13 dead in bus cylinder blast in Faridpur,"Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2017-02-11,Biker killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-02-09,4 killed in Narayanganj road accident,"Narayanganj, Bangladesh","নারায়ণগঞ্জ, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1400, বাংলাদেশ",23.6238108,90.4999662
2017-02-08,Bangladesh Bank official killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2017-02-07,Police constable killed in Cox’s Bazar road crash,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2017-02-04,Two AL leaders killed in Natore road mishap,"Natore, Bangladesh","chakrampur,Natore,Bangladesh, N/A, N502, নাটোর, নাটোর জেলা, রাজশাহী বিভাগ, 6400, বাংলাদেশ",24.4111297,88.9973561
2017-02-03,4 killed in Ashulia road mishap,"Ashulia, Bangladesh","আশুলিয়া, সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1341, বাংলাদেশ",23.9005799,90.3255674
2017-02-02,3 bike riders killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2016-11-29,"One killed, 25 injured in Kushtia road accident","Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2016-11-04,"Mother, son among 4 killed in Khulna road accident","Khulna, Bangladesh","খুলনা বিভাগ, বাংলাদেশ",22.9372087,89.2852741
2016-10-24,Traffic police killed in Rajshahi road accident,"Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2016-10-21,Two killed in Munshiganj road accident,"Munshiganj, Bangladesh","মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.5483797,90.5349722
2016-10-17,2 killed in Faridpur road accident,"Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2016-09-27,Speeding truck kills three men in Brahmanbaria,"Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2016-09-26,5 killed in Chittagong road crash,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2016-09-22,Couple killed as bus rams into house in Rajshahi,"Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2016-09-21,4 killed in Munshiganj road accident,"Munshiganj, Bangladesh","মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.5483797,90.5349722
2016-09-19,Six die as car plunges into ditch in Comilla,"Comilla, Bangladesh","কুমিল্লা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3500, বাংলাদেশ",23.4610615,91.1808748
2016-09-18,Seven killed in Tangail road accidents,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2016-09-16,"5 killed, 21 injured in Tangail road accident","Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2016-09-16,Child among 4 killed in Dinajpur bus accident,"Dinajpur, Bangladesh","দিনাজপুর, দিনাজপুর জেলা, 5216, বাংলাদেশ",25.6260712,88.6346228
2016-09-14,Elderly couple killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2016-09-14,Four home goers killed in Rangpur accident,"Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2016-09-12,Two dead after truck overturns in Tangail,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2016-09-11,Road crashes kill 4 in Gazipur,"Gazipur, Bangladesh","গাজীপুর, গাজীপুর জেলা, ঢাকা বিভাগ, 1701, বাংলাদেশ",23.9980797,90.4229848
2016-09-07,Two killed in Sirajganj road accident,"Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2016-09-06,"One dead, 35 injured in Tangail accident","Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2016-08-26,2 killed in Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2016-08-15,Road accident kills 1 in Natore,"Natore, Bangladesh","chakrampur,Natore,Bangladesh, N/A, N502, নাটোর, নাটোর জেলা, রাজশাহী বিভাগ, 6400, বাংলাদেশ",24.4111297,88.9973561
2016-08-04,Traffic constable crushed under truck in Ctg,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2016-07-16,Four die in Manikganj road accident,"Manikganj, Bangladesh","মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.871163,89.9987833
2016-06-25,Foreigners among 25 injured in Ctg road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
