Date,Deaths,Prediction
2016-07-10,0.0,3.1317031
2016-07-17,4.0,1.4828401
2016-07-24,0.0,2.3608267
2016-07-31,0.0,3.6631038
2016-08-07,3.0,1.3168886
2016-08-14,1.0,2.271643
2016-08-21,8.0,4.697822
2016-08-28,2.0,4.057156
2016-09-04,1.0,5.9338536
2016-09-11,36.0,7.7537603
2016-09-18,60.0,13.832213
2016-09-25,14.0,14.535673
2016-10-02,14.0,12.204328
2016-10-09,12.0,14.382114
2016-10-16,0.0,6.671116
2016-10-23,5.0,4.721368
2016-10-30,3.0,2.8938992
2016-11-06,12.0,7.8513885
2016-11-13,0.0,5.029383
2016-11-20,5.0,4.721368
2016-11-27,0.0,2.5061305
2016-12-04,3.0,4.7696238
2016-12-11,6.0,2.7930267
2016-12-18,19.0,8.442542
2016-12-25,13.0,13.241563
2017-01-01,10.0,13.565505
2017-01-08,1.0,7.7409797
2017-01-15,0.0,3.96034
2017-01-22,0.0,1.4843731
2017-01-29,0.0,0.84597063
2017-02-05,76.0,10.650295
2017-02-12,21.0,10.294455
2017-02-19,10.0,8.953541
2017-02-26,4.0,11.183702
2017-03-05,6.0,9.636979
2017-03-12,2.0,5.8417397
2017-03-19,9.0,7.6977267
2017-03-26,42.0,10.702339
2017-04-02,19.0,14.917331
2017-04-09,3.0,10.9127
2017-04-16,27.0,14.214421
2017-04-23,14.0,11.965294
2017-04-30,5.0,11.636705
2017-05-07,2.0,8.936856
2017-05-14,13.0,7.6433063
2017-05-21,0.0,4.6276455
2017-05-28,12.0,6.4646125
2017-06-04,7.0,5.2348027
2017-06-11,0.0,6.9301744
2017-06-18,2.0,4.751124
2017-06-25,14.0,3.3488388
2017-07-02,53.0,12.332741
2017-07-09,2.0,2.3401713
2017-07-16,2.0,2.8641798
2017-07-23,3.0,3.4440453
2017-07-30,8.0,4.4617524
2017-08-06,0.0,4.591102
2017-08-13,4.0,5.168242
2017-08-20,3.0,2.721015
2017-08-27,13.0,7.0893455
2017-09-03,0.0,5.1088514
2017-09-10,0.0,2.839706
2017-09-17,3.0,1.3168886
2017-09-24,1.0,2.271643
2017-10-01,3.0,3.9493067
2017-10-08,3.0,2.9068725
2017-10-15,6.0,4.9656086
2017-10-22,1.0,4.7046914
2017-10-29,1.0,5.1117764
2017-11-05,11.0,3.3421855
2017-11-12,0.0,3.7860773
2017-11-19,0.0,2.9235694
2017-11-26,0.0,0.84597063
2017-12-03,0.0,0.84597063
2017-12-10,0.0,0.84597063
2017-12-17,6.0,1.7915595
2017-12-24,1.0,2.882275
2017-12-31,8.0,6.960233
2018-01-07,7.0,5.114675
2018-01-14,2.0,7.7910476
2018-01-21,18.0,10.104505
2018-01-28,0.0,5.0618467
2018-02-04,5.0,4.2935376
2018-02-11,6.0,3.2051392
2018-02-18,0.0,5.23943
2018-02-25,1.0,4.4404683
2018-03-04,4.0,1.840831
2018-03-11,8.0,3.82857
2018-03-18,0.0,5.0920587
2018-03-25,0.0,3.7963667
2018-04-01,14.0,2.8008163
2018-04-08,28.0,8.169125
2018-04-15,4.0,8.089196
2018-04-22,4.0,9.732263
2018-04-29,13.0,7.611087
2018-05-06,6.0,8.984831
2018-05-13,15.0,14.127077
2018-05-20,5.0,10.026764
2018-05-27,12.0,13.19188
2018-06-03,20.0,12.932445
2018-06-10,42.0,20.811178
2018-06-17,11.0,12.217847
2018-06-24,103.0,19.128742
2018-07-01,13.0,2.6530027
2018-07-08,2.0,18.46914
2018-07-15,19.0,11.735764
2018-07-22,29.0,11.894099
2018-07-29,12.0,14.037287
2018-08-05,5.0,12.626594
2018-08-12,13.0,13.001729
2018-08-19,18.0,12.836073
2018-08-26,65.0,21.971334
2018-09-02,30.0,16.499071
2018-09-09,9.0,17.383055
2018-09-16,17.0,15.4219055
2018-09-23,15.0,15.058803
2018-09-30,23.0,17.635336
2018-10-07,1.0,5.865174
2018-10-14,7.0,5.3141813
2018-10-21,5.0,4.4149456
2018-10-28,10.0,10.123794
2018-11-04,12.0,10.917189
2018-11-11,9.0,12.885051
2018-11-18,7.0,11.92966
2018-11-25,11.0,12.306319
2018-12-02,21.0,14.819074
2018-12-09,15.0,15.308252
2018-12-16,21.0,16.741243
2018-12-23,27.0,18.92717
2018-12-30,3.0,6.8436923
2019-01-06,13.0,9.101435
2019-01-13,13.0,9.879753
2019-01-20,13.0,14.670221
2019-01-27,43.0,21.061419
2019-02-03,25.0,17.010252
2019-02-10,31.0,22.924675
2019-02-17,48.0,25.338255
2019-02-24,19.0,17.139776
2019-03-03,10.0,14.433454
2019-03-10,11.0,13.956185
2019-03-17,3.0,9.281656
2019-03-24,23.0,14.235473
2019-03-31,29.0,13.492709
2019-04-07,10.0,13.212756
2019-04-14,13.0,14.951977
2019-04-21,43.0,19.818243
2019-04-28,17.0,14.436418
2019-05-05,35.0,19.012133
2019-05-12,19.0,16.205067
2019-05-19,10.0,14.465504
2019-05-26,13.0,14.472947
2019-06-02,35.0,19.100565
2019-06-09,42.0,20.895947
2019-06-16,8.0,11.947818
2019-06-23,3.0,15.505003
2019-06-30,37.0,14.076287
2019-07-07,45.0,15.528009
2019-07-14,17.0,18.27336
2019-07-21,24.0,15.892765
2019-07-28,16.0,15.7277
2019-08-04,24.0,17.52638
2019-08-11,8.0,12.102524
2019-08-18,51.0,22.563356
2019-08-25,23.0,15.167177
2019-09-01,15.0,16.802275
2019-09-08,21.0,16.570257
2019-09-15,9.0,13.022073
2019-09-22,24.0,17.048708
2019-09-29,13.0,14.344383
2019-10-06,17.0,15.435139
2019-10-13,11.0,14.061599
2019-10-20,16.0,15.328505
2019-10-27,10.0,13.592436
2019-11-03,8.0,12.7308035
2019-11-10,13.0,13.545441
2019-11-17,10.0,12.866499
2019-11-24,16.0,15.303189
2019-12-01,4.0,9.919612
2019-12-08,11.0,12.662452
2019-12-15,11.0,10.004837
2019-12-22,24.0,17.41113
2019-12-29,19.0,16.408558
2020-01-05,16.0,15.602076
2020-01-12,13.0,14.598012
2020-01-19,19.0,16.409203
2020-01-26,18.0,16.355629
2020-02-02,17.0,15.909725
2020-02-09,13.0,14.664477
2020-02-16,32.0,19.929419
2020-02-23,20.0,16.473763
2020-03-01,47.0,25.173481
2020-03-08,37.0,21.198391
2020-03-15,39.0,30.510065
2020-03-22,39.0,27.681454
2020-03-29,26.0,22.724018
2020-04-05,2.0,7.703293
2020-04-12,0.0,4.2912455
2020-04-19,1.0,2.6824636
2020-04-26,14.0,2.9984992
2020-05-03,213.0,18.580208
2020-05-10,0.0,1.0391915
2020-05-17,1.0,26.288141
2020-05-24,27.0,4.8192296
2020-05-31,2.0,6.1680393
2020-06-07,14.0,7.2081623
2020-06-14,4.0,6.858968
2020-06-21,3.0,9.4745865
2020-06-28,10.0,6.5717325
2020-07-05,9.0,8.2847395
2020-07-12,3.0,9.17159
2020-07-19,0.0,5.7965484
2020-07-26,9.0,4.4891915
2020-08-02,7.0,4.4661617
2020-08-09,21.0,15.043782
2020-08-16,14.0,14.106606
2020-08-23,8.0,12.799114
2020-08-30,8.0,12.436532
2020-09-06,0.0,6.416896
2020-09-13,15.0,7.71937
2020-09-20,9.0,6.2567034
2020-09-27,5.0,11.231999
2020-10-04,1.0,6.913375
2020-10-11,6.0,6.0600076
2020-10-18,2.0,3.5607789
2020-10-25,0.0,4.818042
2020-11-01,4.0,3.1664693
2020-11-08,8.0,3.227059
2020-11-15,1.0,5.665398
2020-11-22,15.0,8.910797
2020-11-29,0.0,4.2939587
2020-12-06,9.0,5.5458164
2020-12-13,38.0,7.99307
2020-12-20,0.0,3.6484566
2020-12-27,1.0,1.6316452
2021-01-03,22.0,4.1030054
2021-01-10,1.0,5.388818
2021-01-17,6.0,5.2563787
2021-01-24,5.0,4.081623
2021-01-31,1.0,6.04945
2021-02-07,37.0,10.446176
2021-02-14,16.0,11.633612
2021-02-21,12.0,14.840462
2021-02-28,36.0,20.670677
2021-03-07,23.0,16.951555
2021-03-14,5.0,10.843302
2021-03-21,14.0,14.338937
2021-03-28,26.0,14.098031
2021-04-04,7.0,11.153345
2021-04-11,4.0,12.89887
2021-04-18,25.0,12.544204
2021-04-25,6.0,9.852995
