,Accident date,Header,Deaths,Injured
0,2021-06-27,Four people killed in Jashore road accident,4.0,1.0
1,2021-06-23,Three killed in  Mymensingh road accident,3.0,0.0
2,2021-06-19,2 killed in Fatullah road accident,2.0,0.0
3,2021-06-18,"7 killed in three road accidents in Chattogram, Rangamati",7.0,22.0
7,2021-06-11,ASI killed in Chattogram road accident,1.0,0.0
8,2021-05-16,Mother-son killed in Sylhet road accident,2.0,7.0
9,2021-05-12,"RAB member, another killed in Gazipur road accident",2.0,6.0
10,2021-05-10,3 killed in Chattogram road accident,3.0,2.0
11,2021-05-03,Road accident kills two workers in Noakhali,2.0,2.0
12,2021-05-04,Couple killed in Meherpur road accident,2.0,5.0
13,2021-04-30,"4 killed, 7 injured in Rangpur road accident",4.0,7.0
14,2021-03-14,"One killed, 3 injured in Panchagarh road accident",1.0,3.0
15,2021-03-13,Two musicians killed in Chattogram road accident,2.0,5.0
16,2021-03-10,One killed in Panchagarh road accident,1.0,0.0
17,2021-02-15,Road accident kills one in Narail,1.0,0.0
18,2021-02-14,Two killed in Sylhet road accident,2.0,0.0
19,2021-02-12,Two killed in Rangpur road accident,2.0,0.0
20,2021-02-11,3 killed in Cox’s Bazar road accident,3.0,5.0
21,2021-02-08,"2 killed, 30 injured in Chandpur road accident",2.0,30.0
22,2021-02-03,Two killed in Jashore road accident,2.0,2.0
23,2021-01-31,4 killed in Sherpur road accident,4.0,2.0
24,2021-01-25,2 killed in Hili road accident,2.0,0.0
25,2021-01-23,One killed in Jashore road accident,1.0,0.0
26,2021-01-21,Woman killed in Meherpur road accident,1.0,1.0
27,2021-01-21,3 killed in Bandarban road accident,3.0,5.0
28,2021-01-18,Road accident kills couple in city,2.0,0.0
29,2021-01-03,7 killed in Mymensingh road accident,7.0,0.0
30,2021-01-01,Four killed in Narsingdi road accident,4.0,1.0
31,2021-06-03,4 sustain burns in Savar factory accident,4.0,0.0
32,2021-04-05,21 policemen injured in Brahmanbaria accident,0.0,21.0
33,2021-03-16,Police officer killed in Feni bike accident,1.0,1.0
34,2021-01-16,35pc of accidents are on motorbikes,0.0,26.0
35,2021-06-27,2 killed in Sitakunda road crashes,0.0,1.0
37,2021-06-26,Road crash claims two in Gulshan,2.0,2.0
38,2021-06-25,Two Ansar men killed in Jashore road crash,0.0,2.0
39,2021-06-24,"Truck driver, helper killed in Naogaon road crash",2.0,0.0
40,2021-06-22,Mango trader killed in road crash,1.0,3.0
41,2021-06-20,2 motorcyclists killed in Chattogram road crash,2.0,3.0
42,2021-06-19,"Couple, new born granddaughter killed in Bogura road crash",3.0,3.0
43,2021-06-18,"Dhaka road crash kills mother, injures daughter",1.0,1.0
44,2021-06-09,2 die in Panchagarh road crash,2.0,1.0
45,2021-06-04,Two bikers killed in Naogaon road crash,2.0,0.0
46,2021-06-04,2 killed in Gopalganj road crash,2.0,3.0
47,2021-06-03,"2 killed, 6 hurt in Thakurgaon road crash",2.0,6.0
48,2021-06-03,Teen killed in Gazipur road crash,1.0,1.0
49,2021-05-26,Road crash kills three in Bhola,3.0,5.0
50,2021-05-21,Road crash claims two lives in Brahmanbaria,2.0,3.0
51,2021-05-18,"Husband, wife among three killed in road crash",3.0,4.0
52,2021-05-19,Youth killed in Naogaon road crash,1.0,0.0
53,2021-05-17,Road crash kills three of a family in Mymensingh,3.0,1.0
54,2021-05-15,3 dead in Chapainawabganj road crash,3.0,7.0
55,2021-05-09,Child killed in Satkhira road crash,1.0,0.0
56,2021-05-03,Road crash leaves three dead in Sylhet,3.0,0.0
57,2021-05-02,ASI killed in Bhola road crash,1.0,0.0
58,2021-05-02,Five killed in Sylhet road crash,4.0,1.0
59,2021-04-28,3 killed in Jhenaidah road crash,3.0,4.0
60,2021-04-26,1 killed in Sylhet road crash,1.0,0.0
61,2021-04-24,2 motorcyclists killed in Natore road crash,2.0,1.0
62,2021-04-18,Pabna road crash leaves 3 dead,3.0,6.0
63,2021-04-17,"2 killed, 10 injured in Satkhira road crash",2.0,10.0
64,2021-04-12,Freedom Fighter killed in Khulna road crash,1.0,0.0
65,2021-04-05,Rajshahi road crash leaves 2 dead,2.0,0.0
66,2021-04-04,4 killed in Nawabganj road crash,4.0,0.0
67,2021-04-03,"Wife killed, husband injured in city road crash",1.0,1.0
68,2021-04-02,"Father, daughter killed in Pabna road crash",2.0,1.0
69,2021-03-31,3 killed in Sylhet road crash,3.0,0.0
70,2021-03-28,2 killed in Chuadanga road crash,2.0,0.0
71,2021-03-26,17 killed in Rajshahi road crash,17.0,0.0
72,2021-03-25,4 killed in Chattogram road crash,4.0,3.0
73,2021-03-22,Chattogram road crash kills 2,2.0,2.0
74,2021-03-22,2 killed in Chattogram road crash,2.0,0.0
75,2021-03-21,8 killed in separate road crashes in Faridpur,6.0,14.0
77,2021-03-20,2 killed in Chattogram road crash,2.0,0.0
78,2021-03-20,4 killed in Bogura road crash,4.0,10.0
79,2021-03-19,Sirajganj road crash kills 3 auto-rickshaw passengers,3.0,0.0
80,2021-03-03,3 killed in Cox’s Bazar road crash,2.0,0.0
131,2021-06-26,Two labourers killed in Dhaka road accident,2.0,2.0
132,2021-06-23,Three killed in Muktagacha road accident,3.0,0.0
133,2021-06-19,Truck-pickup van collision leaves 3 dead in Narsingdi,3.0,0.0
134,2021-06-19,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision",3.0,0.0
135,2021-06-19,Policeman killed in Dhaka road accident,1.0,0.0
136,2021-06-18,3 killed in bus-car collision in Comilla,3.0,0.0
137,2021-06-16,"6 die in road accidents in Dhaka, Gazipur",6.0,0.0
138,2021-06-13,Road accidents claim 5 lives in 3 districts,5.0,0.0
139,2021-06-13,Bus-tractor collision kills 2 on Bangabandhu Bridge,2.0,0.0
140,2021-06-13,"1 killed, 5 injured in Banani road crash",1.0,0.0
141,2021-06-05,Two motorcyclists killed in Naogaon road accident,2.0,0.0
142,2021-06-03,Road accidents claim 9 lives across Bangladesh,9.0,0.0
143,2021-05-28,Three killed in Bhola road accident,3.0,0.0
144,2021-05-22,One killed in Tangail road crash,1.0,0.0
145,2021-05-21,Road accidents kill 4 in 3 districts,4.0,0.0
146,2021-05-21,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria",2.0,0.0
147,2021-05-21,Youth killed in road crash while escorting cousin's body back home,1.0,0.0
148,2021-05-21,"Truck driver injured, assistant killed in Rajshahi road crash",1.0,0.0
149,2021-05-20,3 killed in Brahmanbaria road crash,3.0,0.0
150,2021-05-19,15 killed in road accidents across Bangladesh,15.0,0.0
151,2021-05-17,"Mother killed, son injured in Gulshan road accident",1.0,0.0
152,2021-05-17,OP-ED: A case for 30kmh,0.0,0.0
153,2021-05-15,"4 killed in road accidents in Tangail, Chapainawabganj",4.0,0.0
154,2021-05-15,Premium Sweets owner among 3 dead in Canada road crash,3.0,0.0
155,2021-05-12,Road crashes kill 10 across Bangladesh,10.0,0.0
156,2021-05-10,3 killed in Chittagong road accident,3.0,0.0
157,2021-05-08,"4 killed in road accidents in Rajshahi, Natore",4.0,0.0
158,2021-05-06,4 killed in road accidents across Bangladesh,4.0,0.0
159,2021-05-03,Road accident kills three in Sylhet,3.0,0.0
160,2021-05-02,Policewoman on bike killed in road accident,1.0,0.0
161,2021-05-01,Road crashes kill 8 in 6 districts,8.0,0.0
162,2021-05-01,Road crashes kill 2 in Dhaka,2.0,0.0
163,2021-04-29,Road crash kills man out to buy medicine,1.0,0.0
164,2021-04-20,3 killed in Comilla road accident,3.0,0.0
165,2021-04-19,3 Bangladeshis die in Oman road accident,3.0,0.0
166,2021-04-14,22 killed in road accident in Egypt,22.0,0.0
167,2021-04-13,3 including child killed in Comilla road accident,3.0,0.0
168,2021-04-07,"4 killed in road accident in Dhaka, Rajshahi",4.0,0.0
169,2021-04-05,21 cops injured in Brahmanbaria road accident,0.0,0.0
170,2021-03-31,3 die in Sylhet road accident,3.0,0.0
171,2021-03-31,4 killed in Chittagong road crash,4.0,0.0
172,2021-03-30,Dhaka-Khulna Highway turns into death trap,0.0,0.0
173,2021-03-28,"8 killed, 3 injured in road accidents",8.0,0.0
174,2021-03-26,Bus-microbus collision leaves 17 dead in Rajshahi,17.0,0.0
175,2021-03-26,1 killed in Narsingdi road accident,1.0,0.0
176,2021-03-21,8 killed in Faridpur road crashes,8.0,0.0
177,2021-03-20,"4 killed, 9 injured in Bogra road accident",4.0,0.0
178,2021-03-15,Driver arrested over two musicians’ death in road accident,2.0,0.0
179,2021-03-13,Lorry-microbus collision kills two musicians in Chittagong,2.0,0.0
180,2021-03-12,Bus-easybike collision kills two in Jessore,2.0,0.0
181,2021-03-12,"Garment workers vandalize, torch vehicles in Ashulia as road accident kills one",1.0,0.0
182,2021-03-08,No respite from road accidents on Sylhet-Dhaka Highway,0.0,0.0
183,2021-03-07,3 killed as truck runs over pedestrians in Cox's Bazar,3.0,0.0
184,2021-03-06,"6 killed, 5 injured in road accidents",6.0,0.0
185,2021-03-05,One killed in road accident in Narail,1.0,0.0
186,2021-03-02,"13 dead after SUV, truck collide in California",13.0,0.0
187,2021-02-27,"2 dead, 10 injured in head on collision in Cox's Bazar",2.0,0.0
188,2021-02-26,Road accidents claim 24 lives across Bangladesh,24.0,0.0
189,2021-02-23,2 killed in Chapainawabganj road accident,2.0,0.0
190,2021-02-23,"6 killed, 23 injured in bus-truck collisions in Sirajganj, Rajshahi",6.0,0.0
191,2021-02-22,Bus-truck collision leaves 2 dead in Chittagong,2.0,0.0
192,2021-02-21,"6 killed, multiple injured as bus, truck collide head-on in Bogra",6.0,0.0
193,2021-02-19,Two motorcyclists killed in Rangpur road accident,2.0,0.0
194,2021-02-19,3 Bangladeshi students killed in Canada road crash,3.0,0.0
195,2021-02-18,Child run over by car after falling out of rickshaw,1.0,0.0
196,2021-02-10,"11 killed, multiple injured in tragic bus-truck collision in Jhenaidah",11.0,0.0
197,2021-02-10,4 killed in Teknaf road accident,4.0,0.0
198,2021-02-09,Bus driver’s assistant dies in Dhaka,1.0,0.0
199,2021-02-06,"Father, daughter killed as truck ploughs into Pabna house",2.0,0.0
200,2021-02-05,Bus runs over 3 people on Dhaka-Chittagong Highway,3.0,0.0
201,2021-02-04,Train rams car in Narayanganj,0.0,0.0
202,2021-02-03,32 killed in road pile-up in Uganda,32.0,0.0
203,2021-01-28,10-year-old boy killed in Dhaka road accident,1.0,0.0
204,2021-01-21,3 die as car falls into ditch in Bandarban,3.0,0.0
205,2021-01-20,One killed in Dhaka road accident,1.0,0.0
206,2021-01-19,Policeman dies in road accident in Dhaka,1.0,0.0
207,2021-01-13,"6 killed, 4 injured in Jhenaidah road accident",6.0,4.0
208,2021-01-06,Man killed in Dhaka road accident,1.0,0.0
209,2021-01-03,Bus-autorickshaw collision kills 7 in Mymensingh,7.0,0.0
210,2021-01-01,Road accidents claim 11 lives across the country,11.0,0.0
211,2020-12-30,Road crash kills 4 in Sylhet,4.0,0.0
212,2020-12-29,Police charge BB official in mountaineer Ratna hit-and-run case,0.0,0.0
213,2020-12-23,Woman knocked down by car in Dhaka,1.0,0.0
214,2020-12-08,5 killed in Tangail road accident,5.0,0.0
215,2020-12-08,25 killed in road accidents,25.0,0.0
216,2020-12-07,3 of a family among 8 killed in Habiganj bus-autorickshaw collision,8.0,0.0
217,2020-12-04,6 killed in Tangail road accident,6.0,0.0
218,2020-12-01,3 killed in Chandpur road accident,3.0,0.0
219,2020-11-23,Bangladeshi student killed in Australia road accident,0.0,0.0
220,2020-11-22,3 killed in Bogra road accident,3.0,0.0
221,2020-11-19,9 killed in Chapainawabganj road accident,9.0,0.0
222,2020-11-16,Brothers among three killed in Chapainawabganj road accident,3.0,0.0
223,2020-11-11,Woman killed in Dhaka road accident,1.0,0.0
224,2020-11-03,5 killed in truck-ambulance collision in Kushtia,5.0,0.0
225,2020-11-02,Three killed in Chandpur road accident,3.0,0.0
226,2020-10-26,4 killed in Cox’s Bazar road crash,4.0,0.0
227,2020-10-16,"Boy killed in Dhaka road accident, locals stage demonstrations",1.0,0.0
228,2020-10-12,"Mother killed, daughter injured, in Dhaka road accident",1.0,1.0
229,2020-10-08,4 killed in separate road accidents in Khulna,4.0,0.0
230,2020-10-08,Road accidents kill 2 in Dhaka,2.0,0.0
231,2020-10-02,Intern doctor killed in Sirajganj road accident,1.0,0.0
232,2020-09-22,"Woman, her son killed in Gopalganj road crash",2.0,0.0
233,2020-09-21,"Woman, daughter killed in Comilla road accident",2.0,0.0
234,2020-09-21,"PIB director killed, one injured in Dhaka road crash",1.0,1.0
235,2020-09-18,"4 killed, 20 injured in Magura road crash",4.0,20.0
236,2020-09-16,Panchagarh jail guards killed in road crash,5.0,0.0
237,2020-09-11,Couple among 5 killed in road accidents,5.0,0.0
238,2020-09-09,4 of a family among 6 killed in Barisal road accident,6.0,0.0
239,2020-09-07,Four killed in Habiganj road accident,4.0,0.0
240,2020-08-30,DU student among 3 killed in Cox’s Bazar road accident,3.0,0.0
241,2020-08-29,5 killed in Sylhet road crash,5.0,0.0
242,2020-08-21,4 of a family killed in Tangail road crash,4.0,0.0
243,2020-08-20,2 Bangladeshis among 3 killed in New York road accident,2.0,0.0
244,2020-08-19,1 killed in collision between bus and motorcycle in Jatrabari,1.0,0.0
245,2020-08-18,Mountaineer Reshma hit-and-run: Killer microbus driver arrested,1.0,0.0
246,2020-08-14,Man killed in Dhaka road accident,1.0,0.0
247,2020-08-14,Sylhet road accident death toll reaches 6,6.0,0.0
248,2020-08-14,Four killed as bus collides with three-wheeler,4.0,0.0
249,2020-08-13,3 of a family among 4 killed in bus-car collision in Kurigram,3.0,0.0
250,2020-08-08,7 killed in Mymensingh road crash,7.0,0.0
251,2020-08-06,7 killed in road accidents,7.0,0.0
252,2020-08-03,7 killed in road crash in 3 districts,7.0,0.0
253,2020-08-02,2 killed in Comilla road accident,2.0,0.0
254,2020-08-02,ATN News official among 2 killed in Meherpur road crash,2.0,0.0
255,2020-07-29,Three killed in Chandpur road crash,3.0,0.0
256,2020-07-26,Road accidents claim 9 lives in 4 districts,9.0,0.0
257,2020-07-07,Three of a family killed in Comilla road accident,3.0,0.0
258,2020-07-04,"Four killed in Gazipur, Lakshmipur road crashes",4.0,0.0
259,2020-07-03,Three-wheeler driver killed in Jhenaidah road accident,1.0,0.0
260,2020-07-01,"Road accident kills 4, injures 6 in Rangpur",4.0,6.0
261,2020-06-28,3 killed as truck crashes into the divider on Tangail highway,3.0,0.0
262,2020-06-24,"Three passengers die after three-wheeler, truck collide in Thakurgaon",3.0,0.0
263,2020-06-24,Road accident claims two lives in Sirajganj,2.0,0.0
264,2020-06-23,2 killed as tree falls on motorcycle in Habiganj,2.0,0.0
265,2020-06-17,Three killed in Sirajganj road accident,3.0,0.0
266,2020-06-14,Three of a family among four killed in Rajbari road accident,4.0,0.0
267,2020-06-13,Road crash kills two BGB troopers in Rajshahi,0.0,0.0
268,2020-06-04,"2 killed, 1 injured in Banglamotor road accident",2.0,1.0
269,2020-06-01,"12 killed, 21 injured in road accident in Nepal",12.0,0.0
270,2020-05-28,Two students killed in motorbike crash in Dhaka,2.0,0.0
271,2020-05-22,3 die in Narayanganj road accident,3.0,0.0
272,2020-05-22,13 killed in Gaibandha road accident,12.0,0.0
273,2020-05-19,"12 killed, 22 injured in road accidents",12.0,22.0
274,2020-05-11,Agriculture officer killed in Habiganj road crash,1.0,0.0
275,2020-05-03,Road crashes claim 211 lives in April despite lockdown,211.0,0.0
276,2020-04-28,"Two farm workers killed, four injured in Bogra road accident",2.0,0.0
277,2020-04-24,Four killed in road accidents,4.0,0.0
278,2020-04-20,Coronavirus: 10 people killed each day in road accidents amid shutdown,10.0,0.0
279,2020-04-16,"1 soldier killed, 21 injured as army truck crashes in Dhaka",1.0,21.0
280,2020-04-01,Two killed in Mymensingh road accident,2.0,0.0
281,2020-03-28,7 killed in road accidents,7.0,0.0
282,2020-03-25,Woman killed in Savar road accident,1.0,0.0
283,2020-03-25,18 killed in road accidents in 7 districts,18.0,0.0
284,2020-03-22,Chittagong road accident: Death toll rises to 15,15.0,0.0
285,2020-03-21,12 killed in Chittagong road accident,12.0,0.0
286,2020-03-20,Road accidents claim 11 lives,11.0,0.0
287,2020-03-18,Policeman crushed under wheels of a bus,1.0,0.0
288,2020-03-15,8 killed in road accidents,8.0,0.0
289,2020-03-14,Eight killed in road accidents,8.0,0.0
290,2020-03-13,13 killed in road accidents,13.0,0.0
291,2020-03-10,Road crashes kill 4 across the country,4.0,0.0
292,2020-03-09,Tangail road crash kills 6,6.0,0.0
293,2020-03-07,5 killed in road crashes,5.0,0.0
294,2020-03-06,10 people killed as microbus rams into tree in Habiganj,10.0,0.0
295,2020-03-06,DU student killed in city road accident,1.0,0.0
296,2020-03-06,Road accidents kill 21 in 5 districts,21.0,0.0
297,2020-03-01,2 killed in Jessore road accident,2.0,0.0
298,2020-02-29,Road accidents claim 21 lives,21.0,0.0
299,2020-02-26,5 killed in Dhaka road accidents,5.0,0.0
300,2020-02-26,4 killed in Dhaka road accidents,4.0,0.0
301,2020-02-25,11 killed in road crashes,11.0,0.0
302,2020-02-24,4 killed in road accidents in Dhaka,4.0,0.0
303,2020-02-23,18 injured as private car ploughs through crowd in Kurmitola,0.0,18.0
304,2020-02-22,10 killed in road accidents,10.0,0.0
305,2020-02-19,10 killed in road accidents,10.0,0.0
306,2020-02-16,10 killed in road crashes,10.0,0.0
307,2020-02-15,Mymensingh divisional commissioner injured in Gazipur road accident,0.0,1.0
308,2020-02-15,7 killed in road accidents,7.0,0.0
309,2020-02-13,15 CU students injured in road accident,15.0,0.0
310,2020-02-08,"6 killed in Comilla, Cox's Bazar road accidents",6.0,0.0
311,2020-02-04,6 killed in road crashes,6.0,0.0
312,2020-02-04,1 killed in Dhaka road accident,1.0,0.0
313,2020-01-31,7 killed in road accidents,7.0,0.0
314,2020-01-29,3 killed in Dinajpur road accident,3.0,0.0
315,2020-01-28,Bus race kills motorcyclist in Dhaka,1.0,0.0
316,2020-01-28,1 killed in Dhaka road accident,1.0,0.0
317,2020-01-28,"4 killed in Moulvibazar, Habiganj road accidents",4.0,0.0
318,2020-01-27,SSC examinee dies after being run over by Wasa’s tanker,1.0,0.0
319,2020-01-26,2 killed in Mymensingh road accident,2.0,0.0
320,2020-01-25,8 killed in road accidents,8.0,0.0
321,2020-01-24,7 killed in road accidents in 4 districts,7.0,0.0
322,2020-01-20,Road accident kills elderly woman,1.0,0.0
323,2020-01-18,3 of a family killed in Jessore road accident,3.0,0.0
324,2020-01-18,6 killed in road accidents,6.0,0.0
325,2020-01-17,3 killed in Chittagong road accident,3.0,0.0
326,2020-01-17,4 killed in Dhaka road accidents,4.0,0.0
327,2020-01-16,Homecoming turns tragic for Bangladesh-origin USA man,1.0,0.0
328,2020-01-14,2 killed in Dhaka road accidents,2.0,0.0
329,2020-01-12,Nine killed in road accidents,9.0,0.0
330,2020-01-06,Family of 4 killed in Faridpur road accident,4.0,0.0
331,2020-01-04,4 killed in road accidents,4.0,0.0
332,2020-01-03,5 killed in road accidents in 3 districts,5.0,0.0
333,2020-01-02,Road accidents kill 6 in 2 districts,6.0,0.0
334,2020-01-01,Youth killed in Dhaka road accident,1.0,0.0
335,2019-12-29,"2 killed, 1 injured in road accidents",2.0,1.0
336,2019-12-28,Pleasure trip turns into tragedy,0.0,0.0
337,2019-12-27,Chittagong Wasa engineer killed in road crash,1.0,0.0
338,2019-12-24,4 of a family among 5 killed in Kushtia road crash,5.0,0.0
339,2019-12-24,11 killed in road crashes across country,11.0,0.0
340,2019-12-21,Five killed in road accidents,5.0,0.0
341,2019-12-20,DMCH staff killed in Dhaka road accident,1.0,0.0
