newspaper_name,date_of_incident,time_of_incident,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,driver_age,links,description_text,published_time,full_text
Samakal,07/21/2020,11:00 AM,collision,Dhaka-Tangail Highway,1,3,cng auto rickshaw,bus,42,https://en.samakal.com/bangladesh/article/2008372/-of-a-family-killed-in-tangail-road-accident,4 of a family killed in Tangail road accident,21-Aug-20,"Four people of a family were killed in a collision between a passengers bus and a CNG-run auto-rickshaw on the Dhaka-Tangail Highway here on Friday. The deceased were identified as Al Amin, 42, head teacher at Vadroshimul Dakhin Government Primary School under Bhuapur upazila of the district, his wife Sheuly Khatun, 34, Al Amin’s father Sohrab Hossain, 70 and his mother Saleha Begum, 64, reports BSS. Elenga Highway Police said the fatal accident occurred at around 11 am in Rabna bypass area on the busy Highway, leaving all the CNG passengers injured on the spot. The wounded were taken to Tangail General Hospital for treatment. Among them, one died while undergoing treatment at the hospital and three others succumbed to their injuries on the way to Dhaka. Critically injured Hajera, Al Amin’s sister, was shifted to Dhaka Medical College and Hospital (DMCH) as her condition deteriorated. Police seized both the vehicles and a case was filed in this connection, police sources added"
Samakal,06/25/2020,3:00 AM,collision,Kalyanpur area,3,6,private car,cng auto rickshaw,,https://en.samakal.com/bangladesh/article/2005333/-killed--hurt-in-city-road-accident,"3 killed, 6 hurt in city road accident",25-May-20,"Three people were killed and six others injured in a road accident at Kalyanpur area in the capital on Sunday night. Police sources said the accident occurred when two private cars and a CNG-run auto-rickshaw collided head on in the area, leaving three people dead on the spot and six others injured. The bodies of three deceased were sent to Shaheed Suhrawardy Medical College Hospital for autopsy. The identity of three deceased could not be known till the filing of this report. A case was filed in this connection."
Samakal,04/15/2021,9:00 AM,collision,Dhansura in Chapainawabganj's Nachole upazila,3,6,truck,cng auto rickshaw,,https://en.samakal.com/bangladesh/article/2105236/-paddy-harvesters-killed-in-road-accident-in-nachole,3 paddy harvesters killed in road accident in Nachole,15-May-21,"Three paddy harvesters were killed in a head-on collision between a truck and a three-wheeler at Dhansura in Chapainawabganj's Nachole upazila around 9am on Saturday.The deceased were identified as Rezaul Karim, Tosikul Islam and Alauddin Haque of Nandalalpur village under Chaudala union of Gomstapur upazila, said Nachole Upazila Parishad chairman Abdul Quader.A paddy-laden truck coming from Adda to Nachole collided head-on with the human hauler coming from the opposite direction. Three paddy harvesters fell off the truck and died on the spot and at least six other workers were injured in the incident.Station Master of Nachole Fire Service Ibrahim Hossain said locals and fire service personnel rescued them and admitted them to Nachole Upazila Health Complex. All the injured are residents of Chaudola village of Gomstapur upazila."
Samakal,08/07/2020,4:30 PM,collision,Raithura area of Mankon on the Muktagachha-Jamalpur road.,7,5,bus,cng auto rickshaw,,https://en.samakal.com/country/article/2008114/-killed-in-muktagachha-busautorickshaw-collision,7 killed in Muktagachha road accident,8-Aug-20,"Seven people have been killed in a head-on collision between a CNG-powered autorickshaw and a passenger bus at Raithura area of Mankon on the Muktagachha-Jamalpur road. The accident took place around 4:30 pm on Saturday.The deceased were identified as Aladul, 34, of Muktagachha, Nazrul Islam, 35, of Malajani, Nur Mohammad, 30, Taslima Akhter, 26, of Madhupur, Tangail and Liza Akhter, 13. The identities of the rest two were not known. The dead were all auto-rickshaw passengers.Confirming the incident, Officer-in-Charge (OC) of Muktagachha Police Station Biplob Kumar Biswas said seven passengers, including the driver of the auto-rickshaw,"
Samakal,07/01/2018,,collision,KSA,7,15,pickup van,private car,,https://en.samakal.com/bangladesh/article/180166/-bangladeshis-killed-in-ksa-road-accident,7 Bangladeshis killed in KSA road accident,7-Jan-18,"Seven Bangladeshi expatriates, believed to be road cleaners by profession,  were killed and 15 people injured in a road accident on the road between the governorates of Samtah and Al-Hareth, south of Jizan Province of Saudi Arabia on Saturday.Quoting official spokesman of the Red Crescent in Jizan, Beishi Al-Sarkhi, Saudi Arabian newspaper Riyadh Daily said a pick-up van collided head-on with a private car, leaving seven Bangladeshis dead on the spot.  The injured were rushed to the nearest hospital.Source: UNB "
Samakal,03/26/2021,2:00 PM,collision,Kapasia area on the Rajshahi-Dhaka highway,17,0,bus,bus,,https://en.samakal.com/bangladesh/article/2103363/-killed-in-rajshahi%E2%80%99s-fatal-road-accident,17 killed in Rajshahi’s fatal road accident,26-Mar-21,"A total of 17 people were killed in a three-dimensional road accident in Kapasia area on the Rajshahi-Dhaka highway under Katakhali Police Station in the city today.Police said the accident occurred when a Dhaka-bound passengers bus, a Rajshahi-bound microbus and a local human hauler collided head-on around 2 pm.Ruhul Quddus, Additional Deputy Commissioner of Rajshahi Metropolitan Police (RMP), said all the 11 passengers of the microbus were reportedly killed on the spot when its gas cylinder exploded after the incident.Six other people succumbed to their injuries at Rajshahi Medical College Hospital. Two others were undergoing treatment at the hospital, the police officer added.Of the deceased, 11 are male, four female and two minors. But, their identities could not be known immediately."
Samakal,06/06/2019,7:30 AM,collision,Congolese,1,0,private car,truck,,https://en.samakal.com/bangladesh/article/190536/%EF%BB%BFadditional-igp-rowshan-ara-dies-in-congo-road-accident,﻿Additional IGP Rowshan Ara dies in Congo road accident,6-May-19,"Additional Inspector General of Police (IGP) Rowshan Ara Begum has been killed in a road accident while on a United Nations peacekeeping mission in the Democratic Republic of the Congo.  The incident took place in the Congolese capital of Kinshasaon on Sunday 6:30am (local time), police headquarters said on Monday. Rowshan Ara was on her way to attend a Medal Parade of the BANFPU, the additional IGP died on the spot when her vehicle collided with a civil truck.Rowshan Ara Begum, ppm, ndc,began her career in the police force in February, 1988 and served in various capacities, including Assistant Police Commissioner of the Accounts Section, Reserve Office, Traffic Division and Training Unit of Dhaka Metropolitan Police."
Samakal,02/29/2020,12:00 AM,lost control,Godagari upazila of Rajshahi,6,3,private car,,,https://en.samakal.com/bangladesh/article/2002448/-killed-in-rajshahi-road-accident,6 killed in Rajshahi road accident,29-Feb-20,"Six persons, including children, were killed and two others  injured when the driver of a private car lost control  over the steering in Godagari upazila of Rajshahi on Saturday afternoon.The deceased were identified as Akkas Ali, 40, his wife Hosneara, 35, their daughter Musfira, 8, and four-month-old son Hasan Ali, of Monnaffermor in the city, Asia, 30, wife of Ramjan of Godagari upazila and driver Mahanubur Rahman, 40, of Meherchandi in the city.The accident took place on Rajshahi-Chapainawabganj highway around noon while they were going to attend a marriage ceremony, said Md Shahidullah, superintendent of Rajshahi Metropolitan Police (RMP).  Khairul Islam, officer-in-charge of Godagari Police Station, said three people, including the baby girl, were killed on the spot and four other suffered injuries.  On information, police recovered the bodies and sent the injured, including two children, to Rajshahi Medical College Hospital where they died, the OC added."
Samakal,02/06/2020,10:30 AM,collision,Naogaon-Rajshahi Regional Highway,0,1,micro bus,trackor,,https://en.samakal.com/bangladesh/article/2002111/js-whip-injured-in-road-accident,JS Whip injured in road accident,6-Feb-20,"Whip of parliament and lawmaker from Joypurhat-2 constituency Abu Sayeed Al Mahmood Swapon has been injured in a road accident in Manda upazila of Naogaon.The accident took place at Naogaon-Rajshahi Regional Highway in Ferry Ghat area of the upazila at 10:30 am on Thursday.Swapon was taken to Manda Upazila Health Complex with injuries in his right leg, said Officer-in-Charge of Manda Police Station Mozaffar Hossain.However, he started for Joypurhat again after receiving primary treatment at the health complex, the OC added.The tractor has been seized, said police.On information, Deputy Commissioner Harun-ur-Rashid and Superintendent of Police Abdul Mannan visited the spot.The JS whip flew to Rajshahi in the morning. He met the accident when he was going to Joytpurhat by his microbus from Rajshahi."
Samakal,02/08/2020,10:00 PM,lost control,Cox’s Bazar-Chattogram Highway,4,22,bus,,,https://en.samakal.com/chittagong/article/2002150/-killed-in-cox%E2%80%99s-bazar-road-accident,4 killed in Cox’s Bazar road accident,8-Feb-20,"At least four persons were killed and 22 others injured in a road accident on Cox’s Bazar-Chattogram Highway in Baniarchhora area under Chakaria upazila of the district on Friday night.The identities of the deceased could not be known immediately.Md Anisur Rahman, officer-in-charge of Chiringa Highway Police, told BSS that the accident occurred in the area around 10pm when a ‘Star Line Paribahan’ bus fell into a roadside ditch after its driver lost control over the steering, leaving four people dead on the spot and injuring 22 others.The injured were taken to Chakaria Upazila Health Complex for treatment.Later, police recovered the bodies from the spot, the OC added."
Samakal,07/25/2018,4:10 AM,collision,Natore-Pabna highway,14,15,bus,human-hulter,,https://en.samakal.com/country/article/1808183/-killed-in-natore-road-accident,14 killed in Natore road accident,25-Aug-18,"At least 14 people were killed and 15 others injured in a fatal road crash on Natore-Pabna highway at Kadamchilan in Lalpur upazila on Saturday afternoon.The identities of the deceased could not be known immediately, reports UNB.The accident took place when a Dhaka-bound bus of ‘Challenger Paribahan’ from Kushtia hit a human-hauler carrying 15 passengers around 4:10pm, leaving 14 passengers of the human-hauler dead on the spot and 15 bus travellers injured, said Biplob Bijay Talukder, superintendent of Natore Police. Bonpara highway police recovered the bodies."
Samakal,01/16/2018,7:10 AM,collision,Chandpur,3,4,pickup van,cng auto rickshaw,,https://en.samakal.com/country/article/1801148/-killed-in-chandpur-road-accident,3 killed in Chandpur road accident,16-Jan-18,"Three people were killed after a head-on collision between a pickup van and a CNG-run auto-rickshaw in Chandpur on Tuesday morning.The driver of the auto-rickshaw was also injured in the incident took place at Panchani village of Matlab Uttar upazila around 7:00am.  The deceased were identified as Mofiz Pathan, 45, Alamgir Hossain, 40, residents of Panchani village and Anik Ahmmed, 25, a resident of Baherchar village of the upazila. All of them were the passengers of the auto-rickshaw. The accident took place when the truck hit the auto-rickshaw due to dense fog, leaving the four people critically injured, said Anwarul Haque, officer-in-charge of Uttar Matlab Police Station.Later, the injured were taken to local hospital where doctors declared three of them dead and referred the critically injured driver to Dhaka. With UNB inputs "
Samakal,03/19/2017,6:00 AM,lost control,Pekua area Tangail ,2,0,truck,,,https://en.samakal.com/country/article/170312025/2-killed-in-Tangail-road-accident,2 killed in Tangail road accident,19-Mar-17,"Two persons were killed in a road accident in Pekua area under Mirzapur upazila of Tangail early Sunday. The deceased were identified as truck driver Tara Miah, 45, of Fakirhat Kandapara village under Manikganj's Saturia upazila and businessman Delwar Hossain, 40, son of Gedu Miah of Bathuli village in Dhaka's Dhamrai. Mirzapur Bashtoil Police Outpost inspector M Kaiyum said a speedy truck hit another parked truck that run over three persons who were standing nearby in the area, leaving the duo dead on the spot. The law enforcers seized the truck, however, the driver fled the spot, he added."
Samakal,01/31/2021,8:00 AM,collision,Mirzapur of Bajitkhola Union,3,2,truck,scooter,,https://en.samakal.com/country/article/2101595/-including-woman-killed-in-sherpur-road-accident,4 including woman killed in Sherpur road accident,31-Jan-21,"Four persons including a woman were killed in a head-on collision between a CNG-run scooter and a truck at Mirzapur of Bajitkhola Union here on Sunday morning.Three of the deceased were identified as Md Selim Mia, 25, Jobed Ali, 25, Rokhsana Begum, 30. But, police could not know the identity of the remaining victim immediately.According to Sherpur Thana officer in-charge Abdullah Al Mamun, the accident took place around 9am today on Sherpur-Jhinaigati highway.The speeding truck collided head-on with the CNG, killing three on the spot and injuring two.Locals whisked two seriously injured persons off to Zilla Sadar Hospital where the on-duty doctor declared one of them dead, the police official added.Police recovered the bodies and sent to Sherpur Sadar Hospital for autopsies.Filing of a case in this regard is underway.Civil Defence sources said the accident might have occurred due to dense fog."
Samakal,03/23/2017,5:00 AM,collision,Dhaka-Khulna highway,2,1,pickup van,truck,,https://en.samakal.com/country/article/170312137/2-killed-in-Magura-road-accident,2 killed in Magura road accident,23-Mar-17,"Two persons were killed in a head-on collision between pick-up van and truck in Belnagar area under Magura Sadar Upazila on Dhaka-Khulna highway early Thursday. One of the deceased was identified as pick-up driver Abu Hanif, son of Lal Miah of Dhaka's Fatulla. Magura Highway Police sub-inspector (SI) Abdur Rauf said a sand-laden Faridpur-bound truck coming from Magura collided head-on with the pick0up van in the area around 5:00am, leaving the pick-up helper dead on the spot and its driver injured. Later, the driver succumbed to his injuries at Magura Sadar Hospital. Police seized both vehicles, however, truck driver fled the spot."
Samakal,09/24/2016,5:47 AM,lost control,Dhaka-Chittagong Highway,5,0,pickup van,bus,,https://en.samakal.com/country/article/16098862/5-killed-in-Mirsarai-road-accident,5 killed in Mirsarai road accident,24-Sep-16,"At least five people, including general manager (GM) of Karnaphuli Paper Mills, were killed as a covered van hit a standing bus in Khaiyachhara area of Borotakia union under Mirsarai upazila on the Dhaka-Chittagong Highway in the district Saturday morning, reports BSS.   Three of the victims were identified as Sayadur Rahman (50) GM of Karnaphuli Paper Mills, Khaliaur Rahman (35) and Susmita Sen (31).   Mohammad Fariduddin, officer-in-charge of highway police, said the accident occurred as the covered van crashed into the Chittagong-bound bus of 'Shyamoli Paribahan Ltd' from Dhaka in the area around 5.47am, leaving three pedestrians, helper of the van and supervisor of the bus, dead on the spot.   Imtiaz Bhuiyan, officer-in-charge of Mirsarai Police Station, confirmed the incident."
Samakal,02/12/2017,8:00 AM,collision,Dhaka-Sylhet highway,11,10,micro bus,bus,,https://en.samakal.com/country/article/170211132/11-killed-in-Narsingdi-road-accident,11 killed in Narsingdi road accident,12-Feb-17,"Eleven passengers of a microbus were killed in a road accident in Darikandi area under Belabo Thana of Narsingdi district Sunday morning. Six of the deceased were identified as Manik Miah, 45, son of Falu Miah, his wife Mafia, 35, and their son; Hasan Miah, son of Badhu Mia; Hira, 32, son of Shabdar Ali and Zannan, 38, hailed from Chhatir Char village under Kishoreganj's Nikoli Thana. Belabo Thana officer-in-charge (OC) Badrul Alam Khan confirmed the matter. He said a speedy bus collided head-on with the microbus, carrying 14 passengers, in the area on Dhaka-Sylhet highway around 7:45am, leaving 11 people including two children and four women dead on the spot and 10 more hurt. Being informed, police, fire service member and locals send the injured people to the adjacent clinics. The vehicle plying remained stop for an hour in the highway after the accident. However, additional district magistrate (ADM) M Mozammel Haque, Uapzila Nirbahi Officer Umme Habiba and other senior officials visited the spot."
Samakal,05/17/2016,10:30 AM,collision,Chauddagram upazila of Comilla,3,0,truck,cng auto rickshaw,,https://en.samakal.com/country/article/16055754/3-killed-in-Comilla-road-accident,3 killed in Comilla road accident,17-May-16,"Three people were killed as a truck knocked down their rickshaw in Chauddagram upazila of Comilla this morning. 
The road accident took place in front of Chauddagram Upazila Health Complex around 10:30am, police said.   The truck knocked down the rickshaw on Dhaka-Chittagong highway in front of the health complex, killing the three on the spot, said Chauddagram Police Station OC (Investigation) Mahfuz.  
The identities of the deceased could not be ascertained yet, added the OC.   "
Samakal,10/29/2017,2:00 PM,collision,Dhaka-Pabna highway,7,25,bus,bus,,https://en.samakal.com/country/article/1710291/-killed--hurt-in-abna-road-accident,"7 killed, 25 hurt in Pabna road accident",29-Oct-17,"Seven people were killed and 25 others injured in a head-on collision of two passenger buses in Bahalbaria area on the Dhaka-Pabna highway under Sathia upazila of the district this afternoon.
Identities of the deceased could not be known immediately. 
Officer-in-charge of Ataikula police station Masud Rana said the accident took place at about 2 pm when the two buses collided head-on in the area, leaving five passengers of both the vehicles dead on the spit and 27 others injured.
The injured were sent to Pabna General Hospital where two others succumbed to their injuries, said Abdur Razzak, officer-in-charge of sadar police station.     With BSS inputs                                "
Samakal,09/07/2017,3:00 PM,collision,Khudirampur near Bangabandhu Bridge on Dhaka-Tangail Highway,8,4,micro bus,truck,,https://en.samakal.com/country/article/170976/-kills-in-%EF%BB%BFtangail-road-accident,8 killed in ﻿Tangail road accident,7-Sep-17,"At least eight people, including a woman and two children, were killed and four others injured in a road accident at Khudirampur near Bangabandhu Bridge on Dhaka-Tangail Highway in the district this afternoon.""A Tangail-bound truck collided head-on with a Dhaka-bound microbus in Khudirampur area on Dhaka-Tangail highway under Tangail Sadar upazila killing eight people on the spot at about 3 pm,"" Sub-Inspector Jahangir Alam, in-charge of Elenga Highway Police Outpost told this evening, reports BSS.Four received serious injuries and they were undergoing treatment at Tangail General Hospital, he added. Details could not be known immediately."
Samakal,01/06/2020,6:15 PM,lost control,Dhaka-Khulna Highway,6,,private car,,,https://en.samakal.com/bangladesh/article/200198/-killed-in-faridpur-road-accident,6 killed in Faridpur road accident,6-Jan-20,"At least six people were killed in a road accident in Mallikpur area of the Sadar upazila in Faridpur on Monday morning.Four of them are believed to be members of the same family. Details about the victim could not be known yet, reports UNB.Police said the accident took place on Dhaka-Khulna Highway around 6:15am.Karimpur Highway Police said a Jashore-bound bus collided head-on with a Dhaka-bound microbus, killing six people on the spot.As many as 5,227 people were killed and 6,953 others injured in road accidents across the country last year, according to a road safety advocacy group."
Samakal,09/14/2016,11:00 AM,collision,Thakurgaon-Dinajpur highway,3,3,micro bus,pickup van,,https://en.samakal.com/country/article/16098696/3-killed-in-Thakurgaon-road-accident,3 killed in Thakurgaon road accident,14-Sep-16,"Three people, including a woman, were killed and a minor boy was injured as a minibus hit a pick-up van on Thakurgaon-Dinajpur highway at Boro khonchabari in Sadar upazila on Wednesday morning. 
The deceased were identified as Ramjan Ali, 60, and Abdul Gaffar, 60, residents of Rajbari village and Rozina Akhter, 22, resident of Prannagar village of the upazila. 
Moshiur Rahman, officer-in-charge of Sadar police station, said the Dinajpur-bound minibus hit the speeding pick-up on the highway around 11:00am, leaving its two passengers, Ramjan and Gaffar, dead on the spot and Rozina and her 7-year-old boy injured. 
The injured were taken to Adhunik Sadar Hospital where Rozina succumbed to her injuries.
 "
Samakal,10/30/2017,6:30 AM,collision,Sylhet highway in Kandail,6,2,bus,micro bus,,https://en.samakal.com/country/article/1710293/-killed-in-narsingdi-road-accident-,6 killed in Narsingdi road accident,30-Oct-17,"At least six persons were killed and two others injured in a head-on collision between a bus and a microbus on Dhaka-Sylhet highway in Kandail area under Sadar upazila of Narsingdi district this morning.The identities of the deceased could not be known immediately, reports BSS.Additional Superintendent of District Police Hasib Ahmed said the accident occurred in the area around 6.30 am when a Narayangang-bound bus from Narsingdi collided head-on with a Sylhet-bound microbus, leaving four passengers of the microbus dead on the spot and four others critically injured.On information, police rushed to the spot and recovered the bodies, he said.Later the injured were admitted to Narsingdi Sadar Hospital where two more persons succumbed to their injuries, he added."
Samakal,02/11/2017,5:00 AM,lost control,Bonpara-Hatikumrul highway,2,7,truck,truck,,https://en.samakal.com/country/article/170211110/2-killed-in-Natore-road-accident,2 killed in Natore road accident,11-Feb-17,"Two people were killed in a road accident on Bonpara-Hatikumrul highway in Ayrmari Bridge area under Boraigram upazila on Saturday. The identity of the deceased could not be known immediately. Bonpara Highway Thana officer-in-charge (OC) Shamsun Nur confirmed the matter to Samakal. He said a speedy truck hit another parked truck in the area around 5:00am, leaving the duo dead and other seven injured."
Samakal,02/06/2016,3:30 AM,lost control,Sabujbagh,1,0,truck,,,https://en.samakal.com/bangladesh/article/16023051/Elderly-woman-killed-in-city-accident,Elderly woman killed in city accident,6-Feb-16,"An unidentified elderly woman was killed in a road accident at Sabujbagh in the capital city in the early hours of today.   The accident occurred around 3:30 am when a truck hit the women aged about 60 at Madartek while she was crossing the road, officer in-charge of Sabujbagh Police Station Kuddus Fakir told BSS.   Police suspect that the victim was a homeless woman of the area.   She rushed to Dhaka Medical College Hospital (DMCH) where she succumbed to his injuries around 6 am.   Police arrested the truck driver and seized the vehicle."
Samakal,11/05/2020,7:30 AM,lost control,Pail area near Port Louise,4,24,bus,,,https://en.samakal.com/bangladesh/article/201182/bangladeshis-killed-in-mauritius-road-crash,Bangladeshis killed in Mauritius road crash,5-Nov-20,"Four Bangladeshi workers were killed and dozens of others injured in a road accident in the Pail area near Port Louise on Thursday morning.Identities of the deceased could not be known immediately.Rezina Ahmed, Bangladesh High Commissioner to Mauritius, said they would ensure compensation for the deceased workers, , reports UNB.All of them were workers of construction company Hybec partner. The accident occurred when they were going to work in the morning around 7:30am.The driver of the bus lost control and crashed into a bus terminal."
Samakal,10/26/2017,4:45 AM,collision,Dhaka-Chittagong Highway,2,4,pickup van,ambulance,,https://en.samakal.com/chittagong/article/1710257/mbulance-driver-patient-killed-in-tg-road-crash--,"Ambulance driver, patient killed in Ctg road crash ",26-Oct-17,"Two people were killed and four others injured in a road accident in Sitakunda upazila of Chittagong.
The incident took place in Boro Darogar Haat area on Dhaka-Chittagong Highway under the upazila early Thursday.  
The deceased were Sanaullah, 34, an ambulance driver, son of Shamsul Haque of Patuakhali district and its passenger cancer patient Akkas Ali, 64, son of Anwar Ali of Agrabad area of the port city.
The accident took place when a covered van hit the ambulance around 4:45am, leaving the ambulance driver and its passenger killed on the spot and four others injured, said Wasi Ahmed, senior station officer of Sitakunda fire service.
The injured were taken to Chittagong Medical College and Hospital while the bodies were handed over to Sitakunda Police Station, the fire service official added.
With UNB inputs  "
Samakal,08/25/2018,5:00 AM,lost control,Dhaka-Chattogram Highway,2,25,bus ,,,https://en.samakal.com/chittagong/article/1808182/two-killed-in-daudkandi-road-crash,Two killed in Daudkandi road crash,25-Aug-18,"Two people were killed and 25 others injured in a road accident on Dhaka-Chattogram Highway at Jimaltola in Daudkandi upazila on Saturday morning.The identities of the deceased could not be known yet.Abul Kalam Azad, officer-in-charge of Daudkandi Highway Police, said the accident took place as the Chattogram-bound bus of ‘Shyamoli Paribahan’ hit a roadside tree after its driver lost control over the steering around 5 am, leaving two bus passengers dead on the spot and 25 others injured, reports UNB.On information, police recovered the bodies from the spot and sent these to Cumilla Medical College Hospital for autopsy while the injured were admitted to Gouripur Health Complex, the OC added."
Samakal,11/21/2019,8:00 AM,collision,Dhaka-Khulna highway,2,0,covered van,pickup van,,https://en.samakal.com/country/article/1911305/-people-killed-in-gopalganj-road-crash,2 people killed in Gopalganj road crash,21-Nov-19,"Two people were killed in a collision between a covered van and an engine-driven van in Gopalganj Sadar upazila.The accident took place at Dumudia on the Dhaka-Khulna highway around 8 am on Thursday, said Gopalganj Sadar Police Station SI Saiful Islam.After the accident, the angry locals blocked the road for half an hour by burning the tire.The deceased were identified as van driver Abdul Mannan Sikder, 60, son of the late Ayen Uddin Sikder of Shankarpasha village of Kasiani upazila, and van passenger Manjur Sardar, 38, a mason, son of Motaleb Sardar of Tebaria village of Gopalganj Sadar upazila.Hridoy Sardar, son of deceased Manjur Sardar, was also injured in the accident."
