newspaper_name,date_of_incident,time_of_incident,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,driver_age,links,description_text,published_time,full_text
Samakal,01/29/2020,10:15 AM,collision,Mymensingh-Kishoreganj road,4,1,bus,cng auto rickshaw,,https://en.samakal.com/bangladesh/article/2001510/mother-son-among--killed-in-gauripur-road-crash,"Mother, son among 4 killed in Gauripur road crash",29-Jan-20,"Four people, including a mother and son, were killed in a road accident at Gauripur in Mymensingh. The accident took place on Mymensingh-Kishoreganj road in Sreerampur area of Gauripur around 10:15am on Wednesday.The deceased were identified as auto-driver Rafiqul Islam, 55, of Sutirpar village of Bangnamari union, Sahara Banu, 62, of Ujan Kasiar village, Lal Mia, 50, and his mother, Rabea Khatun, 75.Eyewitnesses said the four elderly and disabled people were going to Gauripur Upazila Parishad by auto-rickshaw for registering elderly card to get financial benefits provided by the government. When the auto-rickshaw reached Sreerampur area of Gauripur, a passenger bus hit the auto-rickshaw, leaving Rabea Khatun dead on the spot, they added.Eshwarganj Fire Service personnel rescued five critically injured passengers and sent them to Mymensingh for medical treatment. Three of them succumbed to injuries around 2pm while undergoing treatment at the hospital.Gauripur Police Station OC Borhan Uddin said four bodies were recovered and sent those to the morgue for autopsy. Meanwhile, the bus was seized and kept at the police station, he added."
Samakal,02/07/2018,8:00 AM,collision,Bhanga intersection,5,0,bus,human-hulter,,https://en.samakal.com/dhaka/article/180252/-killed-in-aridpur-road-crash-,5 killed in Faridpur road crash,7-Feb-18,"At least five people were killed after a head-on collision between a passenger bus and a human hauler (auto-bike) in Faridpur on Wednesday morning
The road accident took place in front of Brac office at Bhanga intersection under Bhanga upazila around 8:00am. Of the deceased, two were identified as Abul Hossian, 35, driver of auto-bike and son of Seken Sheikh hailing from Panchkul Maligram, Khaleda Begum, 25, wife of Shahidul Islam, a resident of Chowdhury Kanda area in Bhanga municipality.The accident took place when the Gazipur-bound bus of Ema Paribahan collided head-on with the auto-bike in the area, leaving four auto-bike passengers and its driver dead on the spot, said Ezazuddin, OC of Bhanga Highway Police Station.  On information, police rushed to the spot and recovered the bodies.  "
Samakal,11/04/2017,7:00 AM,collision,Shalbagan in Birganj upazila,4,7,pickup van,battery auto rickshaw,,https://en.samakal.com/rangpur/article/171135/%EF%BB%BF-killed-in-inajpur-road-crash,﻿4 killed in Dinajpur road crash,4-Nov-17,"Four people were killed and seven others injured in a road accident at Shalbagan in Birganj upazila on Saturday morning.
The deceased were identified as Habu Roy, Sushil Bala, Amulya Roy and Rangila Bala.
Officer-in-charge of Birganj police station Abu Akkas Ahmed said the accident took place when a pickup van, coming from opposite direction, hit a battery-run auto-rickshaw around 7:00am, leaving the four people dead on the spot.All of the victims were auto-rickshaw passengers and heading towards Kantaji Temple from Jaldhaka upazila of Nilpharmari, addec the OC."
Samakal,01/29/2019,8:15 AM,lost control,Dhaka-Khulna highway,2,0,bus,,,https://en.samakal.com/dhaka/article/1906125/%EF%BB%BFmother-son-killed-in-gopalganj-road-crash-protesters-block-road,"﻿Mother, son killed in Gopalganj road crash, protesters block road",29-Jun-19,"A woman and her son were killed as a bus ran over them in Gopalganj's Muksudpur upazila on Saturday morning.The road accident took place in Gerakhola area on Dhaka-Khulna highway around 8:15am.The deceased were identified as Shawon Begum, 27, wife of a teacher Ershad Khan of the upazila's Duckhpara village and their son Sakib Khan, 7.Muksudpur Police Station Officer-in-Charge Mustafa Kamal Pasha said a Dhaka-bound bus of Saint Martin Paribahan hit Shawon and her son when they were crossing the highway this morning while going to a coaching center, leaving them dead on the spot. Meanwhile, enraged by the accident, locals blocked the road that triggered a traffic gridlock in the area. The protesters also set fire on the highway after falling trees there and vandalized several vehicles.   "
Samakal,12/17/2016,6:45 AM,collision,Dhaka-Tangail Highway,6,8,bus,human-hulter,,https://en.samakal.com/country/article/161210137/Six-killed-in-Gazipur-road-crash,Six killed in Gazipur road crash,17-Dec-16,"Six people including women were killed and eight others sustained injuries in a road accident at Itahata on Dhaka-Tangail Highway near Bhawal Badre Alam Government College here this morning.   Police said the accident took place as a Gazipur bound 'Laguna' (human hauler) collided head on with a bus at about 6:45 am leaving all the six persons dead on the spot, reports BSS   The Laguna was carrying passengers from Chandra to Gazipur when it crashed against the bus coming from the opposite direction.   Talking to BSS, officer-in-charge (OC) of Joydebpur Police Station Khandker Rezaul Hasan said the accident was happened due to fog in the area.   The OC said police and locals rescued the victims and sent them to Shaheed Tajuddin Medical College Hospital. The police seized the bus.   Identities of the victims could not be ascertained till filing of this report."
Samakal,07/12/2016,7:00 AM,collision,Dhaka-Tangail highway,2,7,truck,covered van,,https://en.samakal.com/country/article/16077138/2-killed-in-Tangail-road-crash,2 killed in Tangail road crash,12-Jul-16,"A driver and a passenger were killed and seven other people injured in a collision between a truck and covered van on the Dhaka-Tangail highway in Koratipara area of Basail upazila on Tuesday morning, reports the UNB.   Identity of the deceased could not be known immediately.   Ajay Dev, sub-inspector of Gorai highway police camp, said the accident took place in the area around 7 am as the truck collided with the covered van, leaving the latter’s driver dead on the spot and its eight passengers injured.   The injured were admitted to Tangail Medical College Hospital where another succumbed to his injuries."
Samakal,08/11/2018,6:15 AM,lost control,Dhaka-Rangpur highway,2,0,bus,,,https://en.samakal.com/country/article/180874/%EF%BB%BF-killed-in-gaibandha-road-crash,﻿2 killed in Gaibandha road crash,10-Aug-18,"Two people, including a child, were killed when a bus overturned in Gaibandha early Friday.   The road accident took place on Dhaka-Rangpur highway in Dhaperhat area under Sadullapur upazila around 6:15am.  The deceased were identified as Saiful Islam, 35, the bus helper, and Chandni Akter, 10, daughter of Sarfaraj Mia from Dhaka. The accident occurred when the bus crashed into a roadside tree, leaving the two people killed on the spot, said Abdur Rashid, sub-inspector of  Dhaperhat police investigation center. "
Samakal,07/30/2018,10:30 AM,lost control,Shaheed Ramiz Uddin School,2,0,bus,,,https://en.samakal.com/bangladesh/article/1807261/students-block-airport-road-over-yesterdays-bus-crash,Students block Airport Road over yesterday's bus crash,30-Jul-18,"Traffic on Airport road came to a halt on Monday morning as students of different schools and colleges blocked the road protesting the death of two students of Shaheed Ramiz Uddin School and College in a road accident on yesterday.Witnesses said several hundred students of Shaheed Ramiz Uddin School and College took to the streets around 10:30 am and put up barricade on the road, disrupting traffic movement on the busy road.The enraged students also chanted slogans saying ‘we want justice’ on the road.Besides, the students of different schools and colleges including BAF Shaheen College, Kurmitola,  Government Science College, Nawab Habibullah Model School & College, Bangabandhu College and Banani Bidya Niketan School and College joined the road blockade programme expressing solidarity with their demand.Earlier, the students of Shaheed Ramiz Uddin School and College formed a human chain in front of their college around 10 am demanding justice.On information, police went to the spot and removed them from the college premises.Later, they staged sit-in near Radisson Hotel around 10:15 am, disrupting traffic movement. As police obstructed them from staging demonstrations near the hotel they brought out a rally from there protesting the death of their two fellows and put up barricade on the Airport road.Earlier on Sunday, Diya Khanam Mim and Abdul Karim Rajib were killed as a bus ploughed through some students in front of Kurmitola General Hospital on Airport Road in the capital.Angered by the tragic incident, the students of the college took to the streets and put up barricades on both sides of the road, disrupting traffic from 1 pm to 1:45pm.They also vandalised several vehicles and set fire to two buses, including the killer one. With UNB inputs "
Samakal,02/24/2018,1:30 AM,collision,Dhaka-Mawa Highway,3,0,truck,cng auto rickshaw,,https://en.samakal.com/country/article/1802222/-killed-in-keraniganj-road-crash,3 killed in Keraniganj road crash,24-Feb-18,"Three people were killed in a road accident at Ekuria Bazar on Dhaka-Mawa Highway in South Keraniganj, on the outskirts of Dhaka, early Saturday.The victims were identified as Md Falan Sohel, 25, son of Md Shaheed of  Kalkini upazila of Madaripur, Md Afzal Khan, 28, of Baufal upazila of Patuakhali and Md Chan Mia Fakir, 28, auto-rickshaw driver and son of Abdur Razzak Miah of Madaripur.The accident took place when a Postagola-bound truck hit a CNG-run auto-rickshaw coming from opposite direction around 1:30am, leaving two people dead on the spot and another injured, said Shakawat Imtiaz, Sub Inspector of South Keraniganj Police Station.Later, the injured was taken to Dhaka Medical College Hospital where doctors declared him dead.With UNB inputs  "
Samakal,07/15/2016,6:00 AM,collision,Dhaka-Aricha highway,4,3,bus,pickup van,,https://en.samakal.com/country/article/16077234/Woman-daughter-among-4-killed-in-Manikganj-road-crash,"Woman, daughter among 4 killed in Manikganj road crash",15-Jul-16,"Four people including a woman and her daughter, were killed and three others injured when a bus rammed a pick-up van on the Dhaka-Aricha highway at Tara in Ghior upazila on Friday, reports the UNB.   The deceased were identified as Shefali Begum, 50, wife of Zinnat Ali of Nobogram village in Sadar upazila, her daughter Nargis Akter, 30, Mizanur Rahman, 30, of Joynagar village in sadar upazila and Paran Rajbongshi, 48 of Tangail.   Yeamin-ud-Daula, in-charge of Borongail highway police camp, said the accident took place around 6 am when a Paturia-bound ‘Shohagh Paribahan’ bus hit a pick-up van coming from the opposite direction, leaving Shefali killed on the spot and six others injured.   Later, Shefali’s daughter Nargis died on way to Manikganj sadar hospital while Mizanur and Paran died after admission at the hospital.   Of the injured, an unidentified man was shifted to Dhaka Medical College Hospital following deterioration of his condition.   Police seized the bus and pick-up van but could not arrest anyone as the drivers of both the vehicles fled the scene."
Samakal,01/26/2017,7:00 AM,collision,Dhaka-Sylhet highway,5,0,micro bus,truck,,https://en.samakal.com/country/article/170110757/5-killed-in-Habiganj-road-crash,5 killed in Habiganj road crash,26-Jan-17,"At least five people were killed and four others injured when a microbus collided head-on with a truck in Habiganj on Thursday morning.   The deadly road accident took place on Dhaka-Sylhet highway in Ulukandi area under Chunarughat upazila around 7:00am. 
The identities of the deceased could not be known immediately. 
Md Zakir Hossain, officer-in-charge of Shayestaganj Highway Police Station, said the accident occurred when a Dhaka-bound stone-laden truck collided head-on with the microbus in the area, leaving the five people dead on the spot and four others injured. 
The injured were whisked off to Habiganj Sadar Hospital, he added. 
 "
Samakal,11/19/2020,5:00 AM,lost control,Pirojpur-Barik Bazar,8,0,human-hunter,,,https://en.samakal.com/country/article/2011329/-killed-in-chapainawabganj-road-crash,8 killed in Chapainawabganj road crash,19-Nov-20,"Eight people were killed when a paddy-laden human hauler overturned and fell into a ditch on the side of the road.The accident took place on the Pirojpur-Barik Bazar regional road in Bhanga Shako area of Gazipur upazila in the district around 5am on Thursday.Shibganj Police Officer-in-Charge (OC) Farid Hossain confirmed the information and said eight people were killed and at least five people were injured in the accident.Seven of the dead were identified as Abul Kashem, son of late Nowshad Ali of Balidighi area of Shibganj upazila, Erfan Ali's son Babul, Tajamul Haque, Tajamul Haque's son Md Mithun, Kabil's son Karim, Amanur Haque's son Milu, and Rehman's son Ataur Rahman.Earlier, Shibganj Upazila Fire Service Station Officer Siraj Uddin said seven people were killed and four others injured in the accident. He said the fire service was carrying out rescue operations to help the locals after the accident."
Samakal,01/22/2018,10:00 AM,lost control,Dhaka-Bogra highway,2,18,bus,,,https://en.samakal.com/rajshahi/article/1806214/-killed-in-sirajganj-road-crash--,2 killed in Sirajganj road crash,22-Jun-18,"Two people were killed and 18 others injured as a bus plunged into a roadside ditch in  Raiganj upazila ﻿of Sirajganj on Friday morning.The road accident took place on Dhaka-Bogra highway in Bhuiyanganti Bazar area under the upazila﻿ around 10:00am.The deceased were identified as Jahir Uddin, 35, son of Nazim Uddin, and Abu Bakar Siddiq, 34, son of Abbas Ali, resident of Saidpur village in Thakurgaon district.Abdul Kader Zilani, officer-in-charge of Hatikumrul Highway Police Station, said that the Dhaka-bound ‘Mirpur Paribahan’ bus from Thakurgaon fell into the ditch around 10:30am after its driver lost control over the steering, leaving 25 people injured.Later, the injured were rushed to Raiganj Upazila Health Complex where doctors declared the duo dead.With UNB inputs "
Samakal,06/13/2016,7:00 PM,lost control,Rangpur-Dhaka highway,3,0,bus,,,https://en.samakal.com/country/article/16066487/3-killed-in-Rangpur-road-crash,3 killed in Rangpur road crash,13-Jun-16,"Three people including a child and a woman were killed as a BRTC bus hit a road side tree at Pirganj upazila in Rangpur. 
The road accident took place on Rangpur-Dhaka highway in Uzipur area under the upazila on Monday evening. 
The detail identities of the deceased could not be known immediately. However, the other passengers of the bus said that the victims are from the same family.   According to police and locals, the Dhaka-bound BRTC bus hit the road side tree this evening as its driver lost control over its steering, leaving the three dead. 
Confirming the incident, Pirganj Police Station Officer-in-Charge (OC) Rezaul Karim said police seized the bus. 
 "
Samakal,05/07/2016,1:30 PM,collision,Dhaka-Khulna Highway,3,20,bus,bus,,https://en.samakal.com/bangladesh/article/2009330/-killed-in-magura-road-crash,3 killed in Magura road crash,18-Sep-20,"At least three people were killed and 20 others injured after two buses crashed into each other on the Dhaka-Khulna Highway in Mugi area of Magura Sadar upazila on Friday afternoon.Police could not immediately confirm identities of the deceased.Officer-in-Charge of Magura Police Station Joynal Abedin said a bus of Shohagh Paribahan collided head-on with a Khulna-bound bus Chakladar Paribahan at 1:30pm leaving three people dead on the spot.After the accident, Chakladar Paribahan bus plunged into a roadside ditch as another bus of Highest Paribahan hit it from behind, he said.Vehicular movement remained suspended for two hours after the accident, the OC said.The injured were admitted to the Sadar Hospital, he said.Police seized the three vehicles but their drivers are on the run, he added."
Samakal,09/27/2018,11:30 PM,collision,Dhaka-Bogra highway,4,15,bus ,truck,,https://en.samakal.com/country/article/16055509/4-killed-in-Bogra-road-crash,4 killed in Bogra road crash,7-May-16,"Four people were killed and 15 others injured in a head-on collision between a bus and a truck on the Dhaka-Bogra highway near Ghoga Bridge in Sherpur upazila on Friday night, reports the UNB.   Additional superintendent of police of Bogra Mahidul Islam said the accident took place around 11:30 pm when a Lalmonirhat-bound bus from Dhaka plunged into a roadside ditch after colliding head-on with a cement-laden truck, coming from the opposite direction, leaving four people killed on the spot and 15 others injured.   The deceased were identified as Milon Mia, 22, of Gaibandha district, Rezaul Karim, 31 of Shibganj upazila in Bogra district, Ataur Rahman, 21 of Lalmonirhat district and Kanak Islam, 25.   On information, police and fire service men rushed in and rescued the victims.   Of the injured, 10 were rushed to Sherpur Upazila Health Complex while the rest five were admitted to Shaheed Ziaur Rahman Medical College Hospital."
Samakal,10/17/2019,6:30 AM,collision,Bhuapur link road area,1,0,private car,truck,,https://en.samakal.com/country/article/1809199/%EF%BB%BFrangpur-jubo-league-president-killed-in-road-crash,﻿Rangpur Jubo League president killed in road crash,27-Sep-18,"Rashedunnabi Jewel, president of Rangpur city unit Jubo League, was killed in a road accident in Tangail on Thursday morning. The incident took place in Bhuapur link road area, east side of Bangabandhu Bridge, around 6:30am.Mosharraf Hossain, OC of Bangabandhu Bridge North Police Station, said Jewel and his associate were going to Dhaka traveling in a Pajero. The vehicle collided head-on with a cement-laden truck in Tangail's Bhuapur link road area, leaving the two passengers and its driver injured.  The victims were taken to Tangail General Hospital, where the on-duty doctor declared Jewel dead, he added. "
Samakal,02/10/2021,9:30 AM,lost control,upazila's Char-Bangabaria area,2,0,cng auto rickshaw,,,https://en.samakal.com/country/article/1811230/%EF%BB%BFmother-daughter-killed-in-pabna-road-crash,"﻿Mother, daughter killed in Pabna road crash",29-Nov-18,"A woman and her seven-year-old daughter were killed in a road accident in Pabna Sadar upazila on Thursday morning. Husband of the victim, Akbar Ali, was also sustained critical injuries in the incident took place in upazila's Char-Bangabaria area around 9:30am. The deceased were identified as Rini Khatun, 35, and her daughter Borsha, 7. They were from Hemayetpur union of the upazila. According to the relatives of the victim Rini Khatun, she was eight months pregnant.       Pabna Sadar Police Station Officer-in-Charge (OC) Md Obaidul Haque said rickshaw van driver Akbar Ali was taking his wife and daughter to market travelling on his vehicle. Meanwhile, a brick-laden three-wheeler hit the rickshaw van in the area, killing the mother and daughter on the spot.   Critically injured Akbar Ali has been admitted to Pabna General Hospital, he added.   "
Samakal,02/20/2017,3:00 PM,collision,Jessore-Jhenaidah highway,10,0,truck,bus,,https://en.samakal.com/bangladesh/article/2102193/-killed-in-kaliganj-road-crash,10 killed in Kaliganj road crash,10-Feb-21,"At least 10 people, including a child, were killed when a truck collided with a passenger bus at Kaliganj in Jhenaidah.The accident took place near Barbazar oil pump on Jessore-Jhenaidah highway around 3pm on Wednesday.The identities of the dead were not immediately known, said Kaliganj Fire Service Station Officer Sheikh Mamunur Rashid.Some 30 to 35 people were injured in the accident and the condition of seven to eight of them is critical, he said, adding the injured have been admitted to Kaliganj and Jessore hospitals. On information, Barbazar Highway Police, Fire Service, Chairman of the local Union Parishad and local MP Anwarul Azim Anar rushed to the spot and took part in the rescue operation."
Samakal,02/20/2017,12:45 PM,lost control,Dhaka-Chittagong highway,3,0,private car,,,https://en.samakal.com/country/article/170211334/3-women-killed-in-Ctg-road-crash,3 women killed in Ctg road crash,20-Feb-17,"Three women were killed in a road accident on Dhaka-Chittagong highway in Dakkhin Sona Pahar Choitanna Hat area of Chittagong early Monday. The deceased were identified as Sajeda Begum, 45, Eyara Begum, 65, and Piyara Begum. All hailed from Kashinagar village in Brahmanbaria's Bijoynagar upazila. Highway police Zorarganj outpost officer Farid Uddin said a speedy vehicle run over the trio while they were crossing the road in the area after returning from a religious program around 12:45am, leaving the three dead on the spot. The bodies were handed over to the family members without autopsy, the police officer said."
Samakal,01/24/2017,3:00 PM,collision,Panchagarh-Tetulia highway,2,0,truck,human-hunter,,https://en.samakal.com/country/article/170110730/Mother-son-killed-in-Panchgarh-road-crash,"Mother, son killed in Panchgarh road crash",24-Jan-17,"A woman and her minor son were killed and her husband injured after a truck hit their motorcycle in Panchagarh. 
The road accident took place on Panchagarh-Tetulia highway in Doshmile area under Sadar upazila on Monday night. 
The deceased were identified as Joyonti Rani, 28, wife of Sitendranath Barman, and their one-and-a-half-year old minor boy Narayan, a resident of Puthimari village in Bonogram union of Boda upazila. 
Md Muminul Islam, officer-in-charge of Sadar Police Station, said the truck hit the motorcycle when Sitendranath Barman along with his wife and son were returning to their village from Tetulia, leaving the mother and the son dead on the spot and Sitendranath injured. 
On information, police recovered the bodies from the spot while the injured was admitted at Panchagarh Adhunik Sadar Hospital. 
With UNB inputs
 "
Samakal,12/13/2017,7:00 AM,collision,Dhaka-Rajshahi highway,3,10,bus,bus,,https://en.samakal.com/country/article/1712118/%EF%BB%BF-killed-in-rajshahi-road-crash--,﻿3 killed in Rajshahi road crash,13-Dec-17,"Three people were killed and 10 others injured in a head-on collision between two buses in Rajshahi.The road accident took place in Matikata area on Dhaka-Rajshahi highway in Godagari upazila on Wednesday morning. The deceased were identified as Shuvo, 22, Harun-or-Rashid, 55, and Asiya Begum, 55.Witnesses said the accident happened around 7:00am when a Dhaka-bound bus of Ekata Enterprise collided head-on with a Chapainawabganj-bound bus of Hridoy Travels, leaving Shuvo dead on the spot and 12 others injured. Later, Harun-or-Rashid died at Godagari Health Complex and Asiya Begum at Rajshahi Medical College Hospital while undergoing treatment.  Abdul Karim, sub-inspector of Godagari Police Station, said among the injured people, several are in critical condition.  "
Samakal,03/09/2020,10:00 AM,lost control,"Mirzapur, Tangail",6,1,cng auto rickshaw,,,https://en.samakal.com/dhaka/article/200378/-killed-in-tangail-road-crash,6 killed in Tangail road crash,9-Mar-20,"Six people were killed and another was injured in a road accident in Mirzapur, Tangail. The accident took place at 10am on Monday morning at Beltail Bottola area on Goraii-Sakhipur road.The deceased were identified as CNG driver Hridoy, 18, Sonam Uddin, 60, his grandson Ashraful, 10, Zakir Hossain, 35, Hafiz Uddin, 65, and his daughter Runu Akhter, 25."
Samakal,08/30/2020,12:30 PM,lost control,Chittagong-Cox's Bazar highway.,3,1,covered van,,,https://en.samakal.com/country/article/2008575/-students-killed-in-cox%E2%80%99s-bazar-road-crash,3 students killed in Cox’s Bazar road crash,30-Aug-20,"Three students, including two brothers, were killed when a covered van heading to Cox's Bazar hit them in Laksharchar Jiddabazar area of Chakaria upazila the Chittagong-Cox's Bazar highway.The accident took place around 12:30 pm on Sunday. The deceased were identified as Amjad Hossain Rifat, 22, son of Mohammad Bashir of Alipur village in Ward No 7 of Harbang Union and Tarequl Islam Niloy, 23, and Tanzilur Rahman, 19 - sons of Abdul Hakim of Bazar Para in Ward 4 of the same union.Harbang Union Chhatra League leader Abdullah Al Noman said Niloy and Rifat were studying at the same college in Chittagong while Tanzilur Rahman was a student of Cox's Bazar Government College. The tragic accident has cast a shadow of grief over Alipur and Bazarpara villages along with two families.Inspector Anisur Rahman, in-charge of the Chiringa Highway police outpost, said police had seized the covered van and the motorcycle. "
Samakal,08/13/2020,7:30 AM,collision,Kurigram's Sadar upazila,4,0,private car,bus,,https://en.samakal.com/bangladesh/article/2008207/-people-killed-in-kurigram-road-crash,4 people killed in Kurigram road crash,13-Aug-20,"Four people, including three members of the same family, were killed in a head-on collision between a private car and a BRTC bus in Kurigram's Sadar upazila.
  Two others, including a child, were also injured in the accident that took place in the Spinning Mill area of Kurigram-Rangpur highway around 7:30 am on Thursday. Kurigram Sadar Police Station SI Shaharul Islam has confirmed deaths in the accident. The deceased were identified as Mojibur Rahman, 55, his wife Billakis Begum, 45, and their son Billal Hossain, 25. The identity of the private car driver was not known yet."
Samakal,03/17/2016,7:30 PM,collision,Meherpur- Mujibnagar road,5,10,bus ,human-hulter,,https://en.samakal.com/country/article/16034204/5-killed-in-Meherpur-road-mishap,5 killed in Meherpur road mishap,17-Mar-16,"Five people, including four Jubo League men, were killed and 10 others injured in a head-on collision between a picnic bus and a human-hauler (locally known as Alamshadhu) in Meherpur.   The road accident took place in Chak Shyamnagar area under the Sadar upazila on Meherpur- Mujibnagar road at around 7:30pm on Thursday.  
The deceased were identified as Jubo League men Tufan Khan, 40, Nazrul Islam, 35, Saurov, 35, and Anis Hossain, 43, and human-hauler driver Tuku Sheikh, 35. All the victims hailed from Bagoan village. The accident struck the Jubo League activists when they were returning to their village Bagoan in Mujibnagar upazila after attending a programme in the district town marking the 97th birthday of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, witnesses said. 
Police said the Pabna-bound picnic bus of ‘Kaushik Paribahan’ from Mujibnagar hit the shallow engine-run human huller carrying the Jubo League men in the area around 7:30pm. The accident left one dead on the spot and four others succumbed to their injuries at the hospital. 
The injured were taken to Meherpur General Hospital. Four of the injured were later shifted to Rajshahi Medical College Hospital. 
Outraged by the accident, locals set fire to the bus. Later, firefighters doused the flame. 
With inputs from UNB 
 "
